INSERT INTO SHIPMENTS (shipmentId, shipmentStatus, shipmentDate, shipmentMethod, shipmentCost, customerId, trackingNumber) VALUES
(770053, 'Delivered', '2024-01-30 22:02:00', 'Same-Day Delivery', 100, 100000053, 'INMDR4211520366'),
(770054, 'Delivered', '2024-01-31 11:38:41', 'Express Shipping', 250, 100000054, 'TCOQN4518252446'),
(770055, 'Delivered', '2024-02-01 01:15:21', 'Standard Shipping', 250, 100000055, 'PRLDU0134575763'),
(770056, 'Delivered', '2024-02-01 14:52:02', 'Express Shipping', 50, 100000056, 'XKRKZ6419384555'),
(770057, 'Delivered', '2024-02-02 04:28:42', 'Express Shipping', 150, 100000057, 'RKDBP1944416930'),
(770058, 'Delivered', '2024-02-02 18:05:22', 'Freight Shipping', 250, 100000058, 'AICUO0576440733'),
(770059, 'Delivered', '2024-02-03 07:42:03', 'Standard Shipping', 150, 100000059, 'VEELJ2098910631'),
(770060, 'Delivered', '2024-02-03 21:18:43', 'Express Shipping', 300, 100000060, 'ZWLJI7772361214'),
(770061, 'Delivered', '2024-02-04 10:55:24', 'Freight Shipping', 100, 100000061, 'ERFWP0335928079'),
(770062, 'Delivered', '2024-02-05 00:32:04', 'Express Shipping', 100, 100000062, 'JJWVD1931344141'),
(770063, 'Delivered', '2024-02-05 14:08:44', 'Standard Shipping', 100, 100000063, 'DYCFD8502093378'),
(770064, 'Delivered', '2024-02-06 03:45:25', 'Same-Day Delivery', 100, 100000064, 'LUKIM9744208620'),
(770065, 'Delivered', '2024-02-06 17:22:05', 'Freight Shipping', 300, 100000065, 'BIWQG6392173340'),
(770066, 'Delivered', '2024-02-07 06:58:46', 'Freight Shipping', 100, 100000066, 'XXEKM4251530968'),
(770067, 'Delivered', '2024-02-07 20:35:26', 'Freight Shipping', 100, 100000067, 'YGTEP6384265025'),
(770068, 'Delivered', '2024-02-08 10:12:06', 'Same-Day Delivery', 150, 100000068, 'PFVGQ9026100991'),
(770069, 'Delivered', '2024-02-08 23:48:47', 'Standard Shipping', 50, 100000069, 'LCYLL6829639851'),
(770070, 'Delivered', '2024-02-09 13:25:27', 'Freight Shipping', 150, 100000070, 'PWDFS1905694270'),
(770071, 'Delivered', '2024-02-10 03:02:08', 'Express Shipping', 250, 100000071, 'FDDOG3382577474'),
(770072, 'Delivered', '2024-02-10 16:38:48', 'Standard Shipping', 150, 100000072, 'CTYOL5748881636'),
(770073, 'Delivered', '2024-02-11 06:15:28', 'Freight Shipping', 250, 100000073, 'UANRJ8936386017'),
(770074, 'Delivered', '2024-02-11 19:52:09', 'Standard Shipping', 200, 100000074, 'IXNBI8103589567'),
(770075, 'Delivered', '2024-02-12 09:28:49', 'Same-Day Delivery', 50, 100000075, 'BKQSX9149507238'),
(770076, 'Delivered', '2024-02-12 23:05:30', 'Same-Day Delivery', 50, 100000076, 'TEFAC4219311475'),
(770077, 'Delivered', '2024-02-13 12:42:10', 'Freight Shipping', 250, 100000077, 'AFAPB1074030267'),
(770078, 'Delivered', '2024-02-14 02:18:50', 'Standard Shipping', 50, 100000078, 'HFORW8027343998'),
(770079, 'Delivered', '2024-02-14 15:55:31', 'Express Shipping', 100, 100000079, 'PJROA6200911107'),
(770080, 'Delivered', '2024-02-15 05:32:11', 'Same-Day Delivery', 200, 100000080, 'RMYIA2505972177'),
(770081, 'Delivered', '2024-02-15 19:08:52', 'Same-Day Delivery', 200, 100000081, 'WDMQT8343597870'),
(770082, 'Delivered', '2024-02-16 08:45:32', 'Same-Day Delivery', 300, 100000082, 'VDNIH3244486173'),
(770083, 'Delivered', '2024-02-16 22:22:12', 'Freight Shipping', 150, 100000083, 'GMIVF7618201608'),
(770084, 'Delivered', '2024-02-17 11:58:53', 'Freight Shipping', 100, 100000084, 'GEXPC2596030779'),
(770085, 'Delivered', '2024-02-18 01:35:33', 'Standard Shipping', 200, 100000085, 'GMADL1588768242'),
(770086, 'Delivered', '2024-02-18 15:12:14', 'Same-Day Delivery', 50, 100000086, 'LTILL7222021803'),
(770087, 'Delivered', '2024-02-19 04:48:54', 'Freight Shipping', 150, 100000087, 'FNYXT8326529995'),
(770088, 'Delivered', '2024-02-19 18:25:34', 'Freight Shipping', 150, 100000088, 'EIAJD4242081204'),
(770089, 'Delivered', '2024-02-20 08:02:15', 'Same-Day Delivery', 200, 100000089, 'THQMQ9281471858'),
(770090, 'Delivered', '2024-02-20 21:38:55', 'Same-Day Delivery', 150, 100000090, 'IQXEW7347120599'),
(770091, 'Delivered', '2024-02-21 11:15:36', 'Freight Shipping', 50, 100000091, 'VUVYU6108623181'),
(770092, 'Delivered', '2024-02-22 00:52:16', 'Standard Shipping', 250, 100000092, 'IDEME6987064513'),
(770093, 'Delivered', '2024-02-22 14:28:56', 'Express Shipping', 250, 100000093, 'SQBAR9670844608'),
(770094, 'Delivered', '2024-02-23 04:05:37', 'Standard Shipping', 150, 100000094, 'YFJRQ7348093190'),
(770095, 'Delivered', '2024-02-23 17:42:17', 'Express Shipping', 250, 100000095, 'BYMNM0507114151'),
(770096, 'Delivered', '2024-02-24 07:18:58', 'Same-Day Delivery', 200, 100000096, 'MPVFT8273061538'),
(770097, 'Delivered', '2024-02-24 20:55:38', 'Same-Day Delivery', 200, 100000097, 'EGYUR0613614258'),
(770098, 'Delivered', '2024-02-25 10:32:18', 'Freight Shipping', 150, 100000098, 'IFITK1583510220'),
(770099, 'Delivered', '2024-02-26 00:08:59', 'Express Shipping', 150, 100000099, 'LBWYC1824224706'),
(770100, 'Delivered', '2024-02-26 13:45:39', 'Same-Day Delivery', 300, 100000100, 'VOTKR3465353604'),
(770101, 'Delivered', '2024-02-27 03:22:20', 'Freight Shipping', 250, 100000101, 'MTTNP7460716454'),
(770102, 'Delivered', '2024-02-27 16:59:00', 'Standard Shipping', 250, 100000102, 'BZRAD7851145940'),
(770103, 'Delivered', '2024-02-28 06:35:40', 'Standard Shipping', 200, 100000103, 'VQSNT1615851305'),
(770104, 'Delivered', '2024-02-28 20:12:21', 'Express Shipping', 250, 100000104, 'QMHNK1428758667'),
(770105, 'Delivered', '2024-02-29 09:49:01', 'Freight Shipping', 150, 100000105, 'CNSJL3075238201'),
(770106, 'Delivered', '2024-02-29 23:25:42', 'Freight Shipping', 250, 100000106, 'QVTSV0702224120'),
(770107, 'Delivered', '2024-03-01 13:02:22', 'Standard Shipping', 250, 100000107, 'PBIFC4998830544'),
(770108, 'Delivered', '2024-03-02 02:39:02', 'Same-Day Delivery', 300, 100000108, 'WKMYQ2002274131'),
(770109, 'Delivered', '2024-03-02 16:15:43', 'Freight Shipping', 300, 100000109, 'KKIGV5506652621'),
(770110, 'Delivered', '2024-03-03 05:52:23', 'Express Shipping', 150, 100000110, 'ZOZUP1861582629'),
(770111, 'Delivered', '2024-03-03 19:29:04', 'Standard Shipping', 100, 100000111, 'WJVIX5765170728'),
(770112, 'Delivered', '2024-03-04 09:05:44', 'Freight Shipping', 250, 100000112, 'KCOMJ2855753296'),
(770113, 'Delivered', '2024-03-04 22:42:24', 'Standard Shipping', 300, 100000113, 'UJIRG5163570260'),
(770114, 'Delivered', '2024-03-05 12:19:05', 'Express Shipping', 300, 100000114, 'PPDIM8016818846'),
(770115, 'Delivered', '2024-03-06 01:55:45', 'Same-Day Delivery', 200, 100000115, 'RINWD9062062980'),
(770116, 'Delivered', '2024-03-06 15:32:26', 'Freight Shipping', 200, 100000116, 'SJKVO1629797952'),
(770117, 'Delivered', '2024-03-07 05:09:06', 'Freight Shipping', 100, 100000117, 'PTPKH5878808838'),
(770118, 'Delivered', '2024-03-07 18:45:46', 'Express Shipping', 50, 100000118, 'YLJWR5333613155'),
(770119, 'Delivered', '2024-03-08 08:22:27', 'Standard Shipping', 100, 100000119, 'LMPTA5255440490'),
(770120, 'Delivered', '2024-03-08 21:59:07', 'Freight Shipping', 250, 100000120, 'DCYHA4418451918'),
(770121, 'Delivered', '2024-03-09 11:35:48', 'Standard Shipping', 150, 100000121, 'UWQLW4031405612'),
(770122, 'Delivered', '2024-03-10 01:12:28', 'Freight Shipping', 150, 100000122, 'IPRVJ4660501596'),
(770123, 'Delivered', '2024-03-10 14:49:08', 'Same-Day Delivery', 200, 100000123, 'IQNAE5357484197'),
(770124, 'Delivered', '2024-03-11 04:25:49', 'Standard Shipping', 100, 100000124, 'JBRGT3534088598'),
(770125, 'Delivered', '2024-03-11 18:02:29', 'Express Shipping', 250, 100000125, 'MHNLR9273306812'),
(770126, 'Delivered', '2024-03-12 07:39:10', 'Express Shipping', 250, 100000126, 'RTXAT6354330930'),
(770127, 'Delivered', '2024-03-12 21:15:50', 'Standard Shipping', 250, 100000127, 'QWGIA5850702859'),
(770128, 'Delivered', '2024-03-13 10:52:30', 'Freight Shipping', 150, 100000128, 'YMOSN3687177005'),
(770129, 'Delivered', '2024-03-14 00:29:11', 'Express Shipping', 250, 100000129, 'YQOIP2423944897'),
(770130, 'Delivered', '2024-03-14 14:05:51', 'Express Shipping', 50, 100000130, 'CFNNL3762765502'),
(770131, 'Delivered', '2024-03-15 03:42:32', 'Standard Shipping', 50, 100000131, 'PDGEL6742277478'),
(770132, 'Delivered', '2024-03-15 17:19:12', 'Freight Shipping', 200, 100000132, 'OVGIA4893280444'),
(770133, 'Delivered', '2024-03-16 06:55:52', 'Freight Shipping', 250, 100000133, 'WALGN2289786821'),
(770134, 'Delivered', '2024-03-16 20:32:33', 'Same-Day Delivery', 250, 100000134, 'JKDYR9275788269'),
(770135, 'Delivered', '2024-03-17 10:09:13', 'Same-Day Delivery', 100, 100000135, 'FIEKV4955790700'),
(770136, 'Delivered', '2024-03-17 23:45:54', 'Express Shipping', 300, 100000136, 'VLGMN7817854960'),
(770137, 'Delivered', '2024-03-18 13:22:34', 'Freight Shipping', 200, 100000137, 'LWVDX4004355946'),
(770138, 'Delivered', '2024-03-19 02:59:14', 'Freight Shipping', 50, 100000138, 'WNLEA3667502491'),
(770139, 'Delivered', '2024-03-19 16:35:55', 'Same-Day Delivery', 50, 100000139, 'CDEUG7267951258'),
(770140, 'Delivered', '2024-03-20 06:12:35', 'Standard Shipping', 200, 100000140, 'WEDAQ2921078147'),
(770141, 'Delivered', '2024-03-20 19:49:16', 'Same-Day Delivery', 250, 100000141, 'PMERC4849108037'),
(770142, 'Delivered', '2024-03-21 09:25:56', 'Express Shipping', 200, 100000142, 'YXETI0702077967'),
(770143, 'Delivered', '2024-03-21 23:02:36', 'Standard Shipping', 150, 100000143, 'BFUFS0956270079'),
(770144, 'Delivered', '2024-03-22 12:39:17', 'Express Shipping', 200, 100000144, 'BEFCD3969540531'),
(770145, 'Delivered', '2024-03-23 02:15:57', 'Freight Shipping', 300, 100000145, 'DVSCC7107353011'),
(770146, 'Delivered', '2024-03-23 15:52:38', 'Standard Shipping', 50, 100000146, 'BVZBU1422137565'),
(770147, 'Delivered', '2024-03-24 05:29:18', 'Express Shipping', 200, 100000147, 'MESPV6578613570'),
(770148, 'Delivered', '2024-03-24 19:05:58', 'Express Shipping', 200, 100000148, 'UPSZF0495020094'),
(770149, 'Delivered', '2024-03-25 08:42:39', 'Freight Shipping', 50, 100000149, 'WSGPK9903865586'),
(770150, 'Delivered', '2024-03-25 22:19:19', 'Freight Shipping', 300, 100000150, 'WKRRT5649239620'),
(770151, 'Delivered', '2024-03-26 11:56:00', 'Standard Shipping', 150, 100000151, 'BQINN5198489903'),
(770152, 'Delivered', '2024-03-27 01:32:40', 'Standard Shipping', 50, 100000152, 'KAHLR8761633983'),
(770153, 'Delivered', '2024-03-27 15:09:20', 'Freight Shipping', 100, 100000153, 'BCNIK1122393200'),
(770154, 'Delivered', '2024-03-28 04:46:01', 'Express Shipping', 50, 100000154, 'WGQNF2883348931'),
(770155, 'Delivered', '2024-03-28 18:22:41', 'Standard Shipping', 200, 100000155, 'YWHMT9363457447'),
(770156, 'Delivered', '2024-03-29 07:59:22', 'Express Shipping', 300, 100000156, 'EXLWV0630606245'),
(770157, 'Delivered', '2024-03-29 21:36:02', 'Express Shipping', 250, 100000157, 'JYGPU5138812821'),
(770158, 'Delivered', '2024-03-30 11:12:42', 'Freight Shipping', 50, 100000158, 'FWFPV2725530989'),
(770159, 'Delivered', '2024-03-31 00:49:23', 'Freight Shipping', 250, 100000159, 'QDKBK4689623840'),
(770160, 'Delivered', '2024-03-31 14:26:03', 'Standard Shipping', 150, 100000160, 'FLJGF9641784971'),
(770161, 'Delivered', '2024-04-01 04:02:44', 'Same-Day Delivery', 250, 100000161, 'JOZSI6349862684'),
(770162, 'Delivered', '2024-04-01 17:39:24', 'Standard Shipping', 150, 100000162, 'TNVMI7720176431'),
(770163, 'Delivered', '2024-04-02 07:16:04', 'Express Shipping', 250, 100000163, 'CJNJC1986798796'),
(770164, 'Delivered', '2024-04-02 20:52:45', 'Express Shipping', 300, 100000164, 'XSLAL0833399690'),
(770165, 'Delivered', '2024-04-03 10:29:25', 'Standard Shipping', 200, 100000165, 'SXELZ7637162601'),
(770166, 'Delivered', '2024-04-04 00:06:06', 'Freight Shipping', 50, 100000166, 'QMXZN1094224364'),
(770167, 'Delivered', '2024-04-04 13:42:46', 'Freight Shipping', 250, 100000167, 'JDGSA1267972592'),
(770168, 'Delivered', '2024-04-05 03:19:26', 'Standard Shipping', 200, 100000168, 'DWQBF4351351395'),
(770169, 'Delivered', '2024-04-05 16:56:07', 'Freight Shipping', 300, 100000169, 'MVAJR4702800402'),
(770170, 'Delivered', '2024-04-06 06:32:47', 'Freight Shipping', 100, 100000170, 'OGTYW0762277682'),
(770171, 'Delivered', '2024-04-06 20:09:28', 'Same-Day Delivery', 200, 100000171, 'AUJHQ1384533803'),
(770172, 'Delivered', '2024-04-07 09:46:08', 'Freight Shipping', 150, 100000172, 'PAHKI3041586174'),
(770173, 'Delivered', '2024-04-07 23:22:48', 'Same-Day Delivery', 200, 100000173, 'NWTMG4349312973'),
(770174, 'Delivered', '2024-04-08 12:59:29', 'Freight Shipping', 250, 100000174, 'RMBFN4046553893'),
(770175, 'Delivered', '2024-04-09 02:36:09', 'Freight Shipping', 100, 100000175, 'RIONW5292012942'),
(770176, 'Delivered', '2024-04-09 16:12:50', 'Express Shipping', 300, 100000176, 'KJMBY7444588851'),
(770177, 'Delivered', '2024-04-10 05:49:30', 'Standard Shipping', 100, 100000177, 'VFFUJ3744934999'),
(770178, 'Delivered', '2024-04-10 19:26:10', 'Express Shipping', 300, 100000178, 'CGLGS0124806251'),
(770179, 'Delivered', '2024-04-11 09:02:51', 'Express Shipping', 100, 100000179, 'JGAZM7646712797'),
(770180, 'Delivered', '2024-04-11 22:39:31', 'Express Shipping', 50, 100000180, 'NODRY7390330371'),
(770181, 'Delivered', '2024-04-12 12:16:12', 'Standard Shipping', 300, 100000181, 'NTQIO5173977001'),
(770182, 'Delivered', '2024-04-13 01:52:52', 'Freight Shipping', 100, 100000182, 'JACPD1305826477'),
(770183, 'Delivered', '2024-04-13 15:29:32', 'Same-Day Delivery', 300, 100000183, 'EBCJH6604003260'),
(770184, 'Delivered', '2024-04-14 05:06:13', 'Express Shipping', 100, 100000184, 'BTTJA9603512142'),
(770185, 'Delivered', '2024-04-14 18:42:53', 'Express Shipping', 300, 100000185, 'WKJAA4194110222'),
(770186, 'Delivered', '2024-04-15 08:19:34', 'Standard Shipping', 250, 100000186, 'NVHDT9805521750'),
(770187, 'Delivered', '2024-04-15 21:56:14', 'Express Shipping', 150, 100000187, 'JZGKQ0168883957'),
(770188, 'Delivered', '2024-04-16 11:32:54', 'Freight Shipping', 200, 100000188, 'GRJSU1872891058'),
(770189, 'Delivered', '2024-04-17 01:09:35', 'Express Shipping', 50, 100000189, 'BSONP0832403522'),
(770190, 'Delivered', '2024-04-17 14:46:15', 'Same-Day Delivery', 50, 100000190, 'BCXCA8994517523'),
(770191, 'Delivered', '2024-04-18 04:22:56', 'Same-Day Delivery', 100, 100000191, 'IZZUD8391855996'),
(770192, 'Delivered', '2024-04-18 17:59:36', 'Freight Shipping', 150, 100000192, 'WAXZT9971146407'),
(770193, 'Delivered', '2024-04-19 07:36:16', 'Freight Shipping', 250, 100000193, 'OWDRM6129093150'),
(770194, 'Delivered', '2024-04-19 21:12:57', 'Express Shipping', 150, 100000194, 'ULFQD8587164218'),
(770195, 'Delivered', '2024-04-20 10:49:37', 'Freight Shipping', 100, 100000195, 'MABUZ5723852462'),
(770196, 'Delivered', '2024-04-21 00:26:18', 'Express Shipping', 100, 100000196, 'GIEHU1318234908'),
(770197, 'Delivered', '2024-04-21 14:02:58', 'Express Shipping', 200, 100000197, 'AWFKT5188420728'),
(770198, 'Delivered', '2024-04-22 03:39:38', 'Express Shipping', 300, 100000198, 'WPWWM9043619789'),
(770199, 'Delivered', '2024-04-22 17:16:19', 'Freight Shipping', 150, 100000199, 'WYDPZ1428656132'),
(770200, 'Delivered', '2024-04-23 06:52:59', 'Standard Shipping', 300, 100000200, 'PAIMG3354816968'),
(770201, 'Delivered', '2024-04-23 20:29:40', 'Express Shipping', 100, 100000201, 'GQVXA6112891590'),
(770202, 'Delivered', '2024-04-24 10:06:20', 'Express Shipping', 100, 100000202, 'BZLQR1670157602'),
(770203, 'Delivered', '2024-04-24 23:43:00', 'Express Shipping', 100, 100000203, 'IRCKG0323068164'),
(770204, 'Delivered', '2024-04-25 13:19:41', 'Freight Shipping', 300, 100000204, 'DWRBR9395127401'),
(770205, 'Delivered', '2024-04-26 02:56:21', 'Freight Shipping', 200, 100000205, 'CGLDN3740362276'),
(770206, 'Delivered', '2024-04-26 16:33:02', 'Standard Shipping', 100, 100000206, 'EZGNC1988959155'),
(770207, 'Delivered', '2024-04-27 06:09:42', 'Express Shipping', 200, 100000207, 'SRIDJ5306751711'),
(770208, 'Delivered', '2024-04-27 19:46:22', 'Same-Day Delivery', 300, 100000208, 'CUIWI1006555090'),
(770209, 'Delivered', '2024-04-28 09:23:03', 'Standard Shipping', 100, 100000209, 'ODRZW6094966880'),
(770210, 'Delivered', '2024-04-28 22:59:43', 'Standard Shipping', 300, 100000210, 'AHFKN3227987495'),
(770211, 'Delivered', '2024-04-29 12:36:24', 'Freight Shipping', 300, 100000211, 'BHPXJ3012138908'),
(770212, 'Delivered', '2024-04-30 02:13:04', 'Express Shipping', 300, 100000212, 'TAKYS7535137666'),
(770213, 'Delivered', '2024-04-30 15:49:44', 'Freight Shipping', 100, 100000213, 'TVDTD8129207408'),
(770214, 'Delivered', '2024-05-01 05:26:25', 'Standard Shipping', 250, 100000214, 'SYIWY2869917890'),
(770215, 'Delivered', '2024-05-01 19:03:05', 'Same-Day Delivery', 300, 100000215, 'QUMQO0414093091'),
(770216, 'Delivered', '2024-05-02 08:39:46', 'Standard Shipping', 300, 100000216, 'SPXGP5769494052'),
(770217, 'Delivered', '2024-05-02 22:16:26', 'Same-Day Delivery', 250, 100000217, 'OHWLD0251051743'),
(770218, 'Delivered', '2024-05-03 11:53:06', 'Standard Shipping', 50, 100000218, 'FKKXD8780746720'),
(770219, 'Delivered', '2024-05-04 01:29:47', 'Express Shipping', 50, 100000219, 'KEILU2943899612'),
(770220, 'Delivered', '2024-05-04 15:06:27', 'Same-Day Delivery', 100, 100000220, 'EPZYX6584346585'),
(770221, 'Delivered', '2024-05-05 04:43:08', 'Standard Shipping', 50, 100000221, 'HEXVQ3811992504'),
(770222, 'Delivered', '2024-05-05 18:19:48', 'Same-Day Delivery', 250, 100000222, 'QTBZU2897641845'),
(770223, 'Delivered', '2024-05-06 07:56:28', 'Standard Shipping', 200, 100000223, 'DOUEX1137055805'),
(770224, 'Delivered', '2024-05-06 21:33:09', 'Express Shipping', 300, 100000224, 'KLRKX3139514393'),
(770225, 'Delivered', '2024-05-07 11:09:49', 'Express Shipping', 100, 100000225, 'OCZQC3957867421'),
(770226, 'Delivered', '2024-05-08 00:46:30', 'Same-Day Delivery', 200, 100000226, 'FRKUP0998719308'),
(770227, 'Delivered', '2024-05-08 14:23:10', 'Express Shipping', 50, 100000227, 'ZVPFR4785343549'),
(770228, 'Delivered', '2024-05-09 03:59:50', 'Freight Shipping', 200, 100000228, 'OEFNY5314941781'),
(770229, 'Delivered', '2024-05-09 17:36:31', 'Standard Shipping', 100, 100000229, 'HJIYV3557027267'),
(770230, 'Delivered', '2024-05-10 07:13:11', 'Standard Shipping', 100, 100000230, 'IAVVX5963355770'),
(770231, 'Delivered', '2024-05-10 20:49:52', 'Express Shipping', 200, 100000231, 'TIAXN7020050255'),
(770232, 'Delivered', '2024-05-11 10:26:32', 'Freight Shipping', 150, 100000232, 'KJYNE6265613972'),
(770233, 'Delivered', '2024-05-12 00:03:12', 'Standard Shipping', 200, 100000233, 'FHFOV2188411235'),
(770234, 'Delivered', '2024-05-12 13:39:53', 'Freight Shipping', 300, 100000234, 'YXXHB0744766975'),
(770235, 'Delivered', '2024-05-13 03:16:33', 'Same-Day Delivery', 50, 100000235, 'TENKQ4325916483'),
(770236, 'Delivered', '2024-05-13 16:53:14', 'Freight Shipping', 200, 100000236, 'MOKWS9275155074'),
(770237, 'Delivered', '2024-05-14 06:29:54', 'Freight Shipping', 100, 100000237, 'VIASV9264733614'),
(770238, 'Delivered', '2024-05-14 20:06:34', 'Standard Shipping', 50, 100000238, 'XENYK0610025667'),
(770239, 'Delivered', '2024-05-15 09:43:15', 'Freight Shipping', 250, 100000239, 'BZENS1970909173'),
(770240, 'Delivered', '2024-05-15 23:19:55', 'Same-Day Delivery', 100, 100000240, 'NPNIQ4145968538'),
(770241, 'Delivered', '2024-05-16 12:56:36', 'Express Shipping', 50, 100000241, 'JQJBH8415760318'),
(770242, 'Delivered', '2024-05-17 02:33:16', 'Same-Day Delivery', 200, 100000242, 'CSTZG4321929461'),
