INSERT INTO IMPORTDETAILS (importDetailId, branchId, productId, importDateTime) VALUES
(100086, 6, 100086, '2024-08-25 12:30:00'),
(100087, 7, 100087, '2024-08-26 13:45:00'),
(100088, 8, 100088, '2024-08-27 15:00:00'),
(100089, 9, 100089, '2024-08-28 16:15:00'),
(100090, 10, 100090, '2024-08-29 17:30:00'),
(100091, 1, 100091, '2024-08-30 18:45:00'),
(100092, 2, 100092, '2024-08-31 20:00:00'),
(100093, 3, 100093, '2024-09-01 21:15:00'),
(100094, 4, 100094, '2024-09-02 22:30:00'),
(100095, 5, 100095, '2024-09-03 23:45:00'),
(100096, 6, 100096, '2024-09-04 10:00:00'),
(100097, 7, 100097, '2024-09-05 11:15:00'),
(100098, 8, 100098, '2024-09-06 12:30:00'),
(100099, 9, 100099, '2024-09-07 13:45:00'),
(100100, 10, 100100, '2024-09-08 15:00:00');

INSERT INTO IMPORTDETAILS (importDetailId, branchId, productId, importDateTime) VALUES
(100101, 1, 100101, '2024-09-09 16:15:00'),
(100102, 2, 100102, '2024-09-10 17:30:00'),
(100103, 3, 100103, '2024-09-11 18:45:00'),
(100104, 4, 100104, '2024-09-12 20:00:00'),
(100105, 5, 100105, '2024-09-13 21:15:00'),
(100106, 6, 100106, '2024-09-14 22:30:00'),
(100107, 7, 100107, '2024-09-15 23:45:00'),
(100108, 8, 100108, '2024-09-16 10:00:00'),
(100109, 9, 100109, '2024-09-17 11:15:00'),
(100110, 10, 100110, '2024-09-18 12:30:00'),
(100111, 1, 100111, '2024-09-19 13:45:00'),
(100112, 2, 100112, '2024-09-20 15:00:00'),
(100113, 3, 100113, '2024-09-21 16:15:00'),
(100114, 4, 100114, '2024-09-22 17:30:00'),
(100115, 5, 100115, '2024-09-23 18:45:00'),
(100116, 6, 100116, '2024-09-24 20:00:00'),
(100117, 7, 100117, '2024-09-25 21:15:00'),
(100118, 8, 100118, '2024-09-26 22:30:00'),
(100119, 9, 100119, '2024-09-27 23:45:00'),
(100120, 10, 100120, '2024-09-28 10:00:00'),
(100121, 1, 100121, '2024-09-29 11:15:00'),
(100122, 2, 100122, '2024-09-30 12:30:00'),
(100123, 3, 100123, '2024-10-01 13:45:00'),
(100124, 4, 100124, '2024-10-02 15:00:00'),
(100125, 5, 100125, '2024-10-03 16:15:00'),
(100126, 6, 100126, '2024-10-04 17:30:00'),
(100127, 7, 100127, '2024-10-05 18:45:00'),
(100128, 8, 100128, '2024-10-06 20:00:00'),
(100129, 9, 100129, '2024-10-07 21:15:00'),
(100130, 10, 100130, '2024-10-08 22:30:00'),
(100131, 1, 100131, '2024-10-09 23:45:00'),
(100132, 2, 100132, '2024-10-10 10:00:00'),
(100133, 3, 100133, '2024-10-11 11:15:00'),
(100134, 4, 100134, '2024-10-12 12:30:00'),
(100135, 5, 100135, '2024-10-13 13:45:00'),
(100136, 6, 100136, '2024-10-14 15:00:00'),
(100137, 7, 100137, '2024-10-15 16:15:00'),
(100138, 8, 100138, '2024-10-16 17:30:00'),
(100139, 9, 100139, '2024-10-17 18:45:00'),
(100140, 10, 100140, '2024-10-18 20:00:00'),
(100141, 1, 100141, '2024-10-19 21:15:00'),
(100142, 2, 100142, '2024-10-20 22:30:00'),
(100143, 3, 100143, '2024-10-21 23:45:00'),
(100144, 4, 100144, '2024-10-22 10:00:00'),
(100145, 5, 100145, '2024-10-23 11:15:00'),
(100146, 6, 100146, '2024-10-24 12:30:00'),
(100147, 7, 100147, '2024-10-25 13:45:00'),
(100148, 8, 100148, '2024-10-26 15:00:00'),
(100149, 9, 100149, '2024-10-27 16:15:00'),
(100150, 10, 100150, '2024-10-28 17:30:00');

INSERT INTO IMPORTDETAILS (importDetailId, branchId, productId, importDateTime) VALUES
(100151, 1, 100151, '2024-10-29 18:45:00'),
(100152, 2, 100152, '2024-10-30 20:00:00'),
(100153, 3, 100153, '2024-10-31 21:15:00'),
(100154, 4, 100154, '2024-11-01 22:30:00'),
(100155, 5, 100155, '2024-11-02 23:45:00'),
(100156, 6, 100156, '2024-11-03 10:00:00'),
(100157, 7, 100157, '2024-11-04 11:15:00'),
(100158, 8, 100158, '2024-11-05 12:30:00'),
(100159, 9, 100159, '2024-11-06 13:45:00'),
(100160, 10, 100160, '2024-11-07 15:00:00'),
(100161, 1, 100161, '2024-11-08 16:15:00'),
(100162, 2, 100162, '2024-11-09 17:30:00'),
(100163, 3, 100163, '2024-11-10 18:45:00'),
(100164, 4, 100164, '2024-11-11 20:00:00'),
(100165, 5, 100165, '2024-11-12 21:15:00'),
(100166, 6, 100166, '2024-11-13 22:30:00'),
(100167, 7, 100167, '2024-11-14 23:45:00'),
(100168, 8, 100168, '2024-11-15 10:00:00'),
(100169, 9, 100169, '2024-11-16 11:15:00'),
(100170, 10, 100170, '2024-11-17 12:30:00'),
(100171, 1, 100171, '2024-11-18 13:45:00'),
(100172, 2, 100172, '2024-11-19 15:00:00'),
(100173, 3, 100173, '2024-11-20 16:15:00'),
(100174, 4, 100174, '2024-11-21 17:30:00'),
(100175, 5, 100175, '2024-11-22 18:45:00'),
(100176, 6, 100176, '2024-11-23 20:00:00'),
(100177, 7, 100177, '2024-11-24 21:15:00'),
(100178, 8, 100178, '2024-11-25 22:30:00'),
(100179, 9, 100179, '2024-11-26 23:45:00'),
(100180, 10, 100180, '2024-11-27 10:00:00'),
(100181, 1, 100181, '2024-11-28 11:15:00'),
(100182, 2, 100182, '2024-11-29 12:30:00'),
(100183, 3, 100183, '2024-11-30 13:45:00'),
(100184, 4, 100184, '2024-12-01 15:00:00'),
(100185, 5, 100185, '2024-12-02 16:15:00'),
(100186, 6, 100186, '2024-12-03 17:30:00'),
(100187, 7, 100187, '2024-12-04 18:45:00'),
(100188, 8, 100188, '2024-12-05 20:00:00'),
(100189, 9, 100189, '2024-12-06 21:15:00'),
(100190, 10, 100190, '2024-12-07 22:30:00'),
(100191, 1, 100191, '2024-12-08 23:45:00'),
(100192, 2, 100192, '2024-12-09 10:00:00'),
(100193, 3, 100193, '2024-12-10 11:15:00'),
(100194, 4, 100194, '2024-12-11 12:30:00'),
(100195, 5, 100195, '2024-12-12 13:45:00'),
(100196, 6, 100196, '2024-12-13 15:00:00'),
(100197, 7, 100197, '2024-12-14 16:15:00'),
(100198, 8, 100198, '2024-12-15 17:30:00'),
(100199, 9, 100199, '2024-12-16 18:45:00'),
(100200, 10, 100200, '2024-12-17 20:00:00');

INSERT INTO IMPORTDETAILS (importDetailId, branchId, productId, importDateTime) VALUES
(100201, 1, 100201, '2024-12-18 21:15:00'),
(100202, 2, 100202, '2024-12-19 22:30:00'),
(100203, 3, 100203, '2024-12-20 23:45:00'),
(100204, 4, 100204, '2024-12-21 10:00:00'),
(100205, 5, 100205, '2024-12-22 11:15:00'),
(100206, 6, 100206, '2024-12-23 12:30:00'),
(100207, 7, 100207, '2024-12-24 13:45:00'),
(100208, 8, 100208, '2024-12-25 15:00:00'),
(100209, 9, 100209, '2024-12-26 16:15:00'),
(100210, 10, 100210, '2024-12-27 17:30:00'),
(100211, 1, 100211, '2024-12-28 18:45:00'),
(100212, 2, 100212, '2024-12-29 20:00:00'),
(100213, 3, 100213, '2024-12-30 21:15:00'),
(100214, 4, 100214, '2024-12-31 22:30:00'),
(100215, 5, 100215, '2025-01-01 23:45:00'),
(100216, 6, 100216, '2025-01-02 10:00:00'),
(100217, 7, 100217, '2025-01-03 11:15:00'),
(100218, 8, 100218, '2025-01-04 12:30:00'),
(100219, 9, 100219, '2025-01-05 13:45:00'),
(100220, 10, 100220, '2025-01-06 15:00:00'),
(100221, 1, 100221, '2025-01-07 16:15:00'),
(100222, 2, 100222, '2025-01-08 17:30:00'),
(100223, 3, 100223, '2025-01-09 18:45:00'),
(100224, 4, 100224, '2025-01-10 20:00:00'),
(100225, 5, 100225, '2025-01-11 21:15:00'),
(100226, 6, 100226, '2025-01-12 22:30:00'),
(100227, 7, 100227, '2025-01-13 23:45:00'),
(100228, 8, 100228, '2025-01-14 10:00:00'),
(100229, 9, 100229, '2025-01-15 11:15:00'),
(100230, 10, 100230, '2025-01-16 12:30:00'),
(100231, 1, 100231, '2025-01-17 13:45:00'),
(100232, 2, 100232, '2025-01-18 15:00:00'),
(100233, 3, 100233, '2025-01-19 16:15:00'),
(100234, 4, 100234, '2025-01-20 17:30:00'),
(100235, 5, 100235, '2025-01-21 18:45:00'),
(100236, 6, 100236, '2025-01-22 20:00:00'),
(100237, 7, 100237, '2025-01-23 21:15:00'),
(100238, 8, 100238, '2025-01-24 22:30:00'),
(100239, 9, 100239, '2025-01-25 23:45:00'),
(100240, 10, 100240, '2025-01-26 10:00:00'),
(100241, 1, 100241, '2025-01-27 11:15:00'),
(100242, 2, 100242, '2025-01-28 12:30:00'),
(100243, 3, 100243, '2025-01-29 13:45:00'),
(100244, 4, 100244, '2025-01-30 15:00:00'),
(100245, 5, 100245, '2025-01-31 16:15:00'),
(100246, 6, 100246, '2025-02-01 17:30:00'),
(100247, 7, 100247, '2025-02-02 18:45:00'),
(100248, 8, 100248, '2025-02-03 20:00:00'),
(100249, 9, 100249, '2025-02-04 21:15:00'),
(100250, 10, 100250, '2025-02-05 22:30:00');

INSERT INTO IMPORTDETAILS (importDetailId, branchId, productId, importDateTime) VALUES
(100251, 1, 200001, '2024-06-01 10:15:00'),
(100252, 2, 200002, '2024-06-02 11:30:00'),
(100253, 3, 200003, '2024-06-03 12:45:00'),
(100254, 4, 200004, '2024-06-04 14:00:00'),
(100255, 5, 200005, '2024-06-05 15:15:00'),
(100256, 6, 200006, '2024-06-06 16:30:00'),
(100257, 7, 200007, '2024-06-07 17:45:00'),
(100258, 8, 200008, '2024-06-08 19:00:00'),
(100259, 9, 200009, '2024-06-09 20:15:00'),
(100260, 10, 200010, '2024-06-10 21:30:00'),
(100261, 1, 200011, '2024-06-11 22:45:00'),
(100262, 2, 200012, '2024-06-12 10:00:00'),
(100263, 3, 200013, '2024-06-13 11:15:00'),
(100264, 4, 200014, '2024-06-14 12:30:00'),
(100265, 5, 200015, '2024-06-15 13:45:00'),
(100266, 6, 200016, '2024-06-16 15:00:00'),
(100267, 7, 200017, '2024-06-17 16:15:00'),
(100268, 8, 200018, '2024-06-18 17:30:00'),
(100269, 9, 200019, '2024-06-19 18:45:00'),
(100270, 10, 200020, '2024-06-20 20:00:00'),
(100271, 1, 200021, '2024-06-21 21:15:00'),
(100272, 2, 200022, '2024-06-22 22:30:00'),
(100273, 3, 200023, '2024-06-23 23:45:00'),
(100274, 4, 200024, '2024-06-24 10:00:00'),
(100275, 5, 200025, '2024-06-25 11:15:00'),
(100276, 6, 200026, '2024-06-26 12:30:00'),
(100277, 7, 200027, '2024-06-27 13:45:00'),
(100278, 8, 200028, '2024-06-28 15:00:00'),
(100279, 9, 200029, '2024-06-29 16:15:00'),
(100280, 10, 200030, '2024-06-30 17:30:00'),
(100281, 1, 200031, '2024-07-01 18:45:00'),
(100282, 2, 200032, '2024-07-02 20:00:00'),
(100283, 3, 200033, '2024-07-03 21:15:00'),
(100284, 4, 200034, '2024-07-04 22:30:00'),
(100285, 5, 200035, '2024-07-05 23:45:00'),
(100286, 6, 200036, '2024-07-06 10:00:00'),
(100287, 7, 200037, '2024-07-07 11:15:00'),
(100288, 8, 200038, '2024-07-08 12:30:00'),
(100289, 9, 200039, '2024-07-09 13:45:00'),
(100290, 10, 200040, '2024-07-10 15:00:00'),
(100291, 1, 200041, '2024-07-11 16:15:00'),
(100292, 2, 200042, '2024-07-12 17:30:00'),
(100293, 3, 200043, '2024-07-13 18:45:00'),
(100294, 4, 200044, '2024-07-14 20:00:00'),
(100295, 5, 200045, '2024-07-15 21:15:00'),
(100296, 6, 200046, '2024-07-16 22:30:00'),
(100297, 7, 200047, '2024-07-17 23:45:00'),
(100298, 8, 200048, '2024-07-18 10:00:00'),
(100299, 9, 200049, '2024-07-19 11:15:00'),
(100300, 10, 200050, '2024-07-20 12:30:00');

INSERT INTO IMPORTDETAILS (importDetailId, branchId, productId, importDateTime) VALUES
(100301, 1, 200051, '2024-07-21 13:45:00'),
(100302, 2, 200052, '2024-07-22 15:00:00'),
(100303, 3, 200053, '2024-07-23 16:15:00'),
(100304, 4, 200054, '2024-07-24 17:30:00'),
(100305, 5, 200055, '2024-07-25 18:45:00'),
(100306, 6, 200056, '2024-07-26 20:00:00'),
(100307, 7, 200057, '2024-07-27 21:15:00'),
(100308, 8, 200058, '2024-07-28 22:30:00'),
(100309, 9, 200059, '2024-07-29 23:45:00'),
(100310, 10, 200060, '2024-07-30 10:00:00'),
(100311, 1, 200061, '2024-07-31 11:15:00'),
(100312, 2, 200062, '2024-08-01 12:30:00'),
(100313, 3, 200063, '2024-08-02 13:45:00'),
(100314, 4, 200064, '2024-08-03 15:00:00'),
(100315, 5, 200065, '2024-08-04 16:15:00'),
(100316, 6, 200066, '2024-08-05 17:30:00'),
(100317, 7, 200067, '2024-08-06 18:45:00'),
(100318, 8, 200068, '2024-08-07 20:00:00'),
(100319, 9, 200069, '2024-08-08 21:15:00'),
(100320, 10, 200070, '2024-08-09 22:30:00'),
(100321, 1, 200071, '2024-08-10 23:45:00'),
(100322, 2, 200072, '2024-08-11 10:00:00'),
(100323, 3, 200073, '2024-08-12 11:15:00'),
(100324, 4, 200074, '2024-08-13 12:30:00'),
(100325, 5, 200075, '2024-08-14 13:45:00'),
(100326, 6, 200076, '2024-08-15 15:00:00'),
(100327, 7, 200077, '2024-08-16 16:15:00'),
(100328, 8, 200078, '2024-08-17 17:30:00'),
(100329, 9, 200079, '2024-08-18 18:45:00'),
(100330, 10, 200080, '2024-08-19 20:00:00'),
(100331, 1, 200081, '2024-08-20 21:15:00'),
(100332, 2, 200082, '2024-08-21 22:30:00'),
(100333, 3, 200083, '2024-08-22 23:45:00'),
(100334, 4, 200084, '2024-08-23 10:00:00'),
(100335, 5, 200085, '2024-08-24 11:15:00'),
(100336, 6, 200086, '2024-08-25 12:30:00'),
(100337, 7, 200087, '2024-08-26 13:45:00'),
(100338, 8, 200088, '2024-08-27 15:00:00'),
(100339, 9, 200089, '2024-08-28 16:15:00'),
(100340, 10, 200090, '2024-08-29 17:30:00'),
(100341, 1, 200091, '2024-08-30 18:45:00'),
(100342, 2, 200092, '2024-08-31 20:00:00'),
(100343, 3, 200093, '2024-09-01 21:15:00'),
(100344, 4, 200094, '2024-09-02 22:30:00'),
(100345, 5, 200095, '2024-09-03 23:45:00'),
(100346, 6, 200096, '2024-09-04 10:00:00'),
(100347, 7, 200097, '2024-09-05 11:15:00'),
(100348, 8, 200098, '2024-09-06 12:30:00'),
(100349, 9, 200099, '2024-09-07 13:45:00'),
(100350, 10, 200100, '2024-09-08 15:00:00');

INSERT INTO IMPORTDETAILS (importDetailId, branchId, productId, importDateTime) VALUES
(100351, 1, 200101, '2024-09-09 16:15:00'),
(100352, 2, 200102, '2024-09-10 17:30:00'),
(100353, 3, 200103, '2024-09-11 18:45:00'),
(100354, 4, 200104, '2024-09-12 20:00:00'),
(100355, 5, 200105, '2024-09-13 21:15:00'),
(100356, 6, 200106, '2024-09-14 22:30:00'),
(100357, 7, 200107, '2024-09-15 23:45:00'),
(100358, 8, 200108, '2024-09-16 10:00:00'),
(100359, 9, 200109, '2024-09-17 11:15:00'),
(100360, 10, 200110, '2024-09-18 12:30:00'),
(100361, 1, 200111, '2024-09-19 13:45:00'),
(100362, 2, 200112, '2024-09-20 15:00:00'),
(100363, 3, 200113, '2024-09-21 16:15:00'),
(100364, 4, 200114, '2024-09-22 17:30:00'),
(100365, 5, 200115, '2024-09-23 18:45:00'),
(100366, 6, 200116, '2024-09-24 20:00:00'),
(100367, 7, 200117, '2024-09-25 21:15:00'),
(100368, 8, 200118, '2024-09-26 22:30:00'),
(100369, 9, 200119, '2024-09-27 23:45:00'),
(100370, 10, 200120, '2024-09-28 10:00:00'),
(100371, 1, 200121, '2024-09-29 11:15:00'),
(100372, 2, 200122, '2024-09-30 12:30:00'),
(100373, 3, 200123, '2024-10-01 13:45:00'),
(100374, 4, 200124, '2024-10-02 15:00:00'),
(100375, 5, 200125, '2024-10-03 16:15:00'),
(100376, 6, 200126, '2024-10-04 17:30:00'),
(100377, 7, 200127, '2024-10-05 18:45:00'),
(100378, 8, 200128, '2024-10-06 20:00:00'),
(100379, 9, 200129, '2024-10-07 21:15:00'),
(100380, 10, 200130, '2024-10-08 22:30:00'),
(100381, 1, 200131, '2024-10-09 23:45:00'),
(100382, 2, 200132, '2024-10-10 10:00:00'),
(100383, 3, 200133, '2024-10-11 11:15:00'),
(100384, 4, 200134, '2024-10-12 12:30:00'),
(100385, 5, 200135, '2024-10-13 13:45:00'),
(100386, 6, 200136, '2024-10-14 15:00:00'),
(100387, 7, 200137, '2024-10-15 16:15:00'),
(100388, 8, 200138, '2024-10-16 17:30:00'),
(100389, 9, 200139, '2024-10-17 18:45:00'),
(100390, 10, 200140, '2024-10-18 20:00:00'),
(100391, 1, 200141, '2024-10-19 21:15:00'),
(100392, 2, 200142, '2024-10-20 22:30:00'),
(100393, 3, 200143, '2024-10-21 23:45:00'),
(100394, 4, 200144, '2024-10-22 10:00:00'),
(100395, 5, 200145, '2024-10-23 11:15:00'),
(100396, 6, 200146, '2024-10-24 12:30:00'),
(100397, 7, 200147, '2024-10-25 13:45:00'),
(100398, 8, 200148, '2024-10-26 15:00:00'),
(100399, 9, 200149, '2024-10-27 16:15:00'),
(100400, 10, 200150, '2024-10-28 17:30:00');

INSERT INTO IMPORTDETAILS (importDetailId, branchId, productId, importDateTime) VALUES
(100401, 1, 300001, '2024-06-01 08:30:00'),
(100402, 2, 300002, '2024-06-02 09:45:00'),
(100403, 3, 300003, '2024-06-03 10:00:00'),
(100404, 4, 300004, '2024-06-04 11:15:00'),
(100405, 5, 300005, '2024-06-05 12:30:00'),
(100406, 6, 300006, '2024-06-06 13:45:00'),
(100407, 7, 300007, '2024-06-07 14:00:00'),
(100408, 8, 300008, '2024-06-08 15:15:00'),
(100409, 9, 300009, '2024-06-09 16:30:00'),
(100410, 10, 300010, '2024-06-10 17:45:00'),
(100411, 1, 300011, '2024-06-11 18:00:00'),
(100412, 2, 300012, '2024-06-12 19:15:00'),
(100413, 3, 300013, '2024-06-13 20:30:00'),
(100414, 4, 300014, '2024-06-14 21:45:00'),
(100415, 5, 300015, '2024-06-15 22:00:00'),
(100416, 6, 300016, '2024-06-16 23:15:00'),
(100417, 7, 300017, '2024-06-17 08:30:00'),
(100418, 8, 300018, '2024-06-18 09:45:00'),
(100419, 9, 300019, '2024-06-19 10:00:00'),
(100420, 10, 300020, '2024-06-20 11:15:00'),
(100421, 1, 300021, '2024-06-21 12:30:00'),
(100422, 2, 300022, '2024-06-22 13:45:00'),
(100423, 3, 300023, '2024-06-23 14:00:00'),
(100424, 4, 300024, '2024-06-24 15:15:00'),
(100425, 5, 300025, '2024-06-25 16:30:00'),
(100426, 6, 300026, '2024-06-26 17:45:00'),
(100427, 7, 300027, '2024-06-27 18:00:00'),
(100428, 8, 300028, '2024-06-28 19:15:00'),
(100429, 9, 300029, '2024-06-29 20:30:00'),
(100430, 10, 300030, '2024-06-30 21:45:00'),
(100431, 1, 300031, '2024-07-01 22:00:00'),
(100432, 2, 300032, '2024-07-02 23:15:00'),
(100433, 3, 300033, '2024-07-03 08:30:00'),
(100434, 4, 300034, '2024-07-04 09:45:00'),
(100435, 5, 300035, '2024-07-05 10:00:00'),
(100436, 6, 300036, '2024-07-06 11:15:00'),
(100437, 7, 300037, '2024-07-07 12:30:00'),
(100438, 8, 300038, '2024-07-08 13:45:00'),
(100439, 9, 300039, '2024-07-09 14:00:00'),
(100440, 10, 300040, '2024-07-10 15:15:00'),
(100441, 1, 300041, '2024-07-11 16:30:00'),
(100442, 2, 300042, '2024-07-12 17:45:00'),
(100443, 3, 300043, '2024-07-13 18:00:00'),
(100444, 4, 300044, '2024-07-14 19:15:00'),
(100445, 5, 300045, '2024-07-15 20:30:00'),
(100446, 6, 300046, '2024-07-16 21:45:00'),
(100447, 7, 300047, '2024-07-17 22:00:00'),
(100448, 8, 300048, '2024-07-18 23:15:00'),
(100449, 9, 300049, '2024-07-19 08:30:00'),
(100450, 10, 300050, '2024-07-20 09:45:00');

INSERT INTO IMPORTDETAILS (importDetailId, branchId, productId, importDateTime) VALUES
(100451, 1, 400001, '2024-06-01 08:00:00'),
(100452, 2, 400002, '2024-06-02 09:15:00'),
(100453, 3, 400003, '2024-06-03 10:30:00'),
(100454, 4, 400004, '2024-06-04 11:45:00'),
(100455, 5, 400005, '2024-06-05 12:00:00'),
(100456, 6, 400006, '2024-06-06 13:15:00'),
(100457, 7, 400007, '2024-06-07 14:30:00'),
(100458, 8, 400008, '2024-06-08 15:45:00'),
(100459, 9, 400009, '2024-06-09 16:00:00'),
(100460, 10, 400010, '2024-06-10 17:15:00'),
(100461, 1, 400011, '2024-06-11 18:30:00'),
(100462, 2, 400012, '2024-06-12 19:45:00'),
(100463, 3, 400013, '2024-06-13 20:00:00'),
(100464, 4, 400014, '2024-06-14 21:15:00'),
(100465, 5, 400015, '2024-06-15 22:30:00'),
(100466, 6, 400016, '2024-06-16 23:45:00'),
(100467, 7, 400017, '2024-06-17 08:00:00'),
(100468, 8, 400018, '2024-06-18 09:15:00'),
(100469, 9, 400019, '2024-06-19 10:30:00'),
(100470, 10, 400020, '2024-06-20 11:45:00'),
(100471, 1, 400021, '2024-06-21 12:00:00'),
(100472, 2, 400022, '2024-06-22 13:15:00'),
(100473, 3, 400023, '2024-06-23 14:30:00'),
(100474, 4, 400024, '2024-06-24 15:45:00'),
(100475, 5, 400025, '2024-06-25 16:00:00'),
(100476, 6, 400026, '2024-06-26 17:15:00'),
(100477, 7, 400027, '2024-06-27 18:30:00'),
(100478, 8, 400028, '2024-06-28 19:45:00'),
(100479, 9, 400029, '2024-06-29 20:00:00'),
(100480, 10, 400030, '2024-06-30 21:15:00'),
(100481, 1, 400031, '2024-07-01 22:30:00'),
(100482, 2, 400032, '2024-07-02 23:45:00'),
(100483, 3, 400033, '2024-07-03 08:00:00'),
(100484, 4, 400034, '2024-07-04 09:15:00'),
(100485, 5, 400035, '2024-07-05 10:30:00'),
(100486, 6, 400036, '2024-07-06 11:45:00'),
(100487, 7, 400037, '2024-07-07 12:00:00'),
(100488, 8, 400038, '2024-07-08 13:15:00'),
(100489, 9, 400039, '2024-07-09 14:30:00'),
(100490, 10, 400040, '2024-07-10 15:45:00'),
(100491, 1, 400041, '2024-07-11 16:00:00'),
(100492, 2, 400042, '2024-07-12 17:15:00'),
(100493, 3, 400043, '2024-07-13 18:30:00'),
(100494, 4, 400044, '2024-07-14 19:45:00'),
(100495, 5, 400045, '2024-07-15 20:00:00'),
(100496, 6, 400046, '2024-07-16 21:15:00'),
(100497, 7, 400047, '2024-07-17 22:30:00'),
(100498, 8, 400048, '2024-07-18 23:45:00'),
(100499, 9, 400049, '2024-07-19 08:00:00'),
(100500, 10, 400050, '2024-07-20 09:15:00');
