INSERT INTO PROMOTIONS (promotionId, promotionName, startDate, endDate) VALUES 
(300008, 200005, 100008, 30.00),
(300009, 100050, 100009, 1000.00),
(300010, 200015, 100010, 80.00),
(300011, 100030, 100011, 750.00),
(300012, 200020, 100012, 65.00),
(300013, 100045, 100013, 850.00),
(300014, 200025, 100014, 100.00),
(300015, 100060, 100015, 800.00),
(300016, 100070, 100016, 900.00),
(300017, 200030, 100017, 60.00),
(300018, 200035, 100018, 55.00),
(300019, 100085, 100019, 880.00),
(300020, 100095, 100020, 750.00),
(300021, 200045, 100021, 75.00),
(300022, 200050, 100022, 40.00),
(300023, 100105, 100023, 1000.00),
(300024, 200055, 100024, 60.00),
(300025, 100120, 100025, 850.00),
(300026, 100125, 100026, 900.00),
(300027, 200060, 100027, 70.00),
(300028, 200070, 100028, 90.00),
(300029, 100140, 100029, 950.00),
(300030, 100150, 100030, 800.00),
(300031, 200080, 100031, 85.00),
(300032, 200085, 100032, 95.00),
(300033, 100165, 100033, 950.00),
(300034, 100170, 100034, 1100.00),
(300035, 200090, 100035, 50.00),
(300036, 200100, 100036, 25.00),
(300037, 100185, 100037, 950.00),
(300038, 100195, 100038, 850.00),
(300039, 200110, 100039, 70.00),
(300040, 200120, 100040, 50.00),
(300041, 100205, 100041, 1050.00),
(300042, 100215, 100042, 900.00),
(300043, 200125, 100043, 65.00),
(300044, 200135, 100044, 85.00),
(300045, 100230, 100045, 950.00),
(300046, 100240, 100046, 1000.00),
(300047, 200140, 100047, 75.00),
(300048, 200150, 100048, 100.00),
(300049, 100250, 100049, 900.00),
(300050, 200001, 100050, 55.00);

INSERT INTO PROMOTIONPRODUCTS (promotionProductId, productId, promotionId, promotionAmount) VALUES
(300051, 100002, 100001, 600.00),
(300052, 100012, 100002, 750.00),
(300053, 100022, 100003, 850.00),
(300054, 200002, 100004, 45.00),
(300055, 200012, 100005, 60.00),
(300056, 100027, 100006, 950.00),
(300057, 100035, 100007, 1000.00),
(300058, 200006, 100008, 35.00),
(300059, 100055, 100009, 1050.00),
(300060, 200017, 100010, 70.00),
(300061, 100032, 100011, 800.00),
(300062, 200022, 100012, 55.00),
(300063, 100049, 100013, 900.00),
(300064, 200027, 100014, 40.00),
(300065, 100065, 100015, 950.00),
(300066, 100075, 100016, 1000.00),
(300067, 200032, 100017, 75.00),
(300068, 200037, 100018, 60.00),
(300069, 100090, 100019, 920.00),
(300070, 100100, 100020, 850.00),
(300071, 200047, 100021, 65.00),
(300072, 200052, 100022, 35.00),
(300073, 100110, 100023, 1000.00),
(300074, 200057, 100024, 50.00),
(300075, 100130, 100025, 880.00),
(300076, 100135, 100026, 1050.00),
(300077, 200062, 100027, 55.00),
(300078, 200072, 100028, 80.00),
(300079, 100145, 100029, 950.00),
(300080, 100155, 100030, 1000.00),
(300081, 200082, 100031, 75.00),
(300082, 200087, 100032, 95.00),
(300083, 100170, 100033, 1020.00),
(300084, 100175, 100034, 1100.00),
(300085, 200092, 100035, 60.00),
(300086, 200102, 100036, 30.00),
(300087, 100190, 100037, 930.00),
(300088, 100200, 100038, 890.00),
(300089, 200115, 100039, 55.00),
(300090, 200122, 100040, 50.00),
(300091, 100220, 100041, 1000.00),
(300092, 100225, 100042, 950.00),
(300093, 200128, 100043, 65.00),
(300094, 200132, 100044, 90.00),
(300095, 100235, 100045, 1050.00),
(300096, 100245, 100046, 1100.00),
(300097, 200145, 100047, 75.00),
(300098, 200147, 100048, 100.00),
(300099, 100243, 100049, 950.00),
(300100, 200005, 100050, 45.00);

INSERT INTO PROMOTIONPRODUCTS (promotionProductId, productId, promotionId, promotionAmount) VALUES
(300101, 100001, 100001, 600.00),
(300102, 100005, 100002, 850.00),
(300103, 100015, 100003, 700.00),
(300104, 200002, 100004, 45.00),
(300105, 200014, 100005, 50.00),
(300106, 100030, 100006, 900.00),
(300107, 100040, 100007, 950.00),
(300108, 200012, 100008, 40.00),
(300109, 100050, 100009, 1050.00),
(300110, 200020, 100010, 70.00),
(300111, 100025, 100011, 800.00),
(300112, 200025, 100012, 65.00),
(300113, 100045, 100013, 950.00),
(300114, 200028, 100014, 30.00),
(300115, 100060, 100015, 880.00),
(300116, 100065, 100016, 1000.00),
(300117, 200035, 100017, 55.00),
(300118, 200045, 100018, 50.00),
(300119, 100080, 100019, 910.00),
(300120, 100090, 100020, 800.00),
(300121, 200052, 100021, 75.00),
(300122, 200060, 100022, 35.00),
(300123, 100100, 100023, 950.00),
(300124, 200067, 100024, 45.00),
(300125, 100115, 100025, 980.00),
(300126, 100125, 100026, 1070.00),
(300127, 200075, 100027, 60.00),
(300128, 200080, 100028, 55.00),
(300129, 100135, 100029, 990.00),
(300130, 100145, 100030, 1000.00),
(300131, 200092, 100031, 70.00),
(300132, 200102, 100032, 65.00),
(300133, 100155, 100033, 1020.00),
(300134, 100165, 100034, 1100.00),
(300135, 200115, 100035, 50.00),
(300136, 200122, 100036, 30.00),
(300137, 100175, 100037, 930.00),
(300138, 100180, 100038, 900.00),
(300139, 200130, 100039, 75.00),
(300140, 200135, 100040, 60.00),
(300141, 100185, 100041, 1000.00),
(300142, 100195, 100042, 920.00),
(300143, 200145, 100043, 65.00),
(300144, 200150, 100044, 90.00),
(300145, 100200, 100045, 1000.00),
(300146, 100205, 100046, 1050.00),
(300147, 200142, 100047, 75.00),
(300148, 200150, 100048, 100.00),
(300149, 100210, 100049, 950.00),
(300150, 200005, 100050, 50.00);

INSERT INTO PROMOTIONPRODUCTS (promotionProductId, productId, promotionId, promotionAmount) VALUES
(300151, 100002, 100001, 580.00),
(300152, 100012, 100002, 720.00),
(300153, 100022, 100003, 850.00),
(300154, 200005, 100004, 40.00),
(300155, 200010, 100005, 50.00),
(300156, 100027, 100006, 920.00),
(300157, 100037, 100007, 990.00),
(300158, 200015, 100008, 45.00),
(300159, 100047, 100009, 1020.00),
(300160, 200020, 100010, 70.00),
(300161, 100052, 100011, 800.00),
(300162, 200025, 100012, 60.00),
(300163, 100062, 100013, 910.00),
(300164, 200030, 100014, 35.00),
(300165, 100072, 100015, 880.00),
(300166, 100082, 100016, 1000.00),
(300167, 200040, 100017, 65.00),
(300168, 200050, 100018, 55.00),
(300169, 100092, 100019, 920.00),
(300170, 100095, 100020, 850.00),
(300171, 200060, 100021, 75.00),
(300172, 200070, 100022, 30.00),
(300173, 100102, 100023, 950.00),
(300174, 200080, 100024, 50.00),
(300175, 100112, 100025, 890.00),
(300176, 100115, 100026, 1050.00),
(300177, 200090, 100027, 60.00),
(300178, 200095, 100028, 55.00),
(300179, 100120, 100029, 900.00),
(300180, 100130, 100030, 950.00),
(300181, 200105, 100031, 70.00),
(300182, 200110, 100032, 65.00),
(300183, 100140, 100033, 1000.00),
(300184, 100145, 100034, 1100.00),
(300185, 200120, 100035, 50.00),
(300186, 200125, 100036, 30.00),
(300187, 100150, 100037, 940.00),
(300188, 100155, 100038, 910.00),
(300189, 200130, 100039, 70.00),
(300190, 200135, 100040, 60.00),
(300191, 100160, 100041, 950.00),
(300192, 100165, 100042, 990.00),
(300193, 200140, 100043, 55.00),
(300194, 200145, 100044, 45.00),
(300195, 100170, 100045, 1000.00),
(300196, 100175, 100046, 1050.00),
(300197, 200150, 100047, 75.00),
(300198, 200136, 100048, 100.00),
(300199, 100180, 100049, 950.00),
(300200, 200001, 100050, 40.00),
(300201, 100003, 100001, 590.00),
(300202, 100007, 100002, 780.00),
(300203, 100017, 100003, 880.00),
(300204, 200002, 100004, 35.00),
(300205, 200007, 100005, 50.00),
(300206, 100032, 100006, 950.00),
(300207, 100042, 100007, 900.00),
(300208, 200011, 100008, 45.00),
(300209, 100052, 100009, 1020.00),
(300210, 200018, 100010, 65.00),
(300211, 100067, 100011, 830.00),
(300212, 200023, 100012, 70.00),
(300213, 100077, 100013, 970.00),
(300214, 200030, 100014, 40.00),
(300215, 100087, 100015, 1000.00),
(300216, 100092, 100016, 1050.00),
(300217, 200040, 100017, 60.00),
(300218, 200045, 100018, 55.00),
(300219, 100102, 100019, 940.00),
(300220, 100115, 100020, 900.00),
(300221, 200060, 100021, 75.00),
(300222, 200070, 100022, 30.00),
(300223, 100120, 100023, 970.00),
(300224, 200080, 100024, 50.00),
(300225, 100135, 100025, 890.00),
(300226, 100142, 100026, 1100.00),
(300227, 200090, 100027, 65.00),
(300228, 200095, 100028, 55.00),
(300229, 100150, 100029, 920.00),
(300230, 100160, 100030, 940.00),
(300231, 200105, 100031, 70.00),
(300232, 200115, 100032, 65.00),
(300233, 100170, 100033, 980.00),
(300234, 100180, 100034, 950.00),
(300235, 200125, 100035, 50.00),
(300236, 200130, 100036, 30.00),
(300237, 100190, 100037, 930.00),
(300238, 100195, 100038, 890.00),
(300239, 200135, 100039, 75.00),
(300240, 200140, 100040, 60.00),
(300241, 100200, 100041, 1020.00),
(300242, 100205, 100042, 1070.00),
(300243, 200145, 100043, 65.00),
(300244, 200150, 100044, 80.00),
(300245, 100210, 100045, 1000.00),
(300246, 100215, 100046, 950.00),
(300247, 200005, 100047, 40.00),
(300248, 200020, 100048, 30.00),
(300249, 100220, 100049, 1050.00),
(300250, 200030, 100050, 50.00),
(300251, 100004, 100001, 610.00),
(300252, 100008, 100002, 770.00),
(300253, 100018, 100003, 860.00),
(300254, 200003, 100004, 45.00),
(300255, 200008, 100005, 55.00),
(300256, 100033, 100006, 930.00),
(300257, 100043, 100007, 910.00),
(300258, 200012, 100008, 50.00),
(300259, 100053, 100009, 1030.00),
(300260, 200019, 100010, 65.00),
(300261, 100068, 100011, 840.00),
(300262, 200024, 100012, 70.00),
(300263, 100078, 100013, 980.00),
(300264, 200031, 100014, 40.00),
(300265, 100088, 100015, 1010.00),
(300266, 100093, 100016, 1060.00),
(300267, 200041, 100017, 60.00),
(300268, 200046, 100018, 55.00),
(300269, 100103, 100019, 950.00),
(300270, 100116, 100020, 900.00),
(300271, 200061, 100021, 80.00),
(300272, 200071, 100022, 30.00),
(300273, 100121, 100023, 960.00),
(300274, 200081, 100024, 50.00),
(300275, 100136, 100025, 880.00),
(300276, 100143, 100026, 1090.00),
(300277, 200091, 100027, 65.00),
(300278, 200096, 100028, 50.00),
(300279, 100151, 100029, 940.00),
(300280, 100161, 100030, 950.00),
(300281, 200106, 100031, 70.00),
(300282, 200116, 100032, 65.00),
(300283, 100171, 100033, 990.00),
(300284, 100180, 100034, 940.00),
(300285, 200126, 100035, 55.00),
(300286, 200131, 100036, 30.00),
(300287, 100191, 100037, 920.00),
(300288, 100196, 100038, 900.00),
(300289, 200136, 100039, 75.00),
(300290, 200141, 100040, 60.00),
(300291, 100201, 100041, 1030.00),
(300292, 100206, 100042, 1080.00),
(300293, 200146, 100043, 70.00),
(300294, 200122, 100044, 85.00),
(300295, 100211, 100045, 1010.00),
(300296, 100216, 100046, 960.00),
(300297, 200006, 100047, 45.00),
(300298, 200022, 100048, 35.00),
(300299, 100221, 100049, 1040.00),
(300300, 200034, 100050, 55.00),
(300301, 100005, 100001, 620.00),
(300302, 100009, 100002, 760.00),
(300303, 100019, 100003, 850.00),
(300304, 200004, 100004, 40.00),
(300305, 200009, 100005, 50.00),
(300306, 100034, 100006, 920.00),
(300307, 100044, 100007, 900.00),
(300308, 200013, 100008, 55.00),
(300309, 100054, 100009, 1025.00),
(300310, 200020, 100010, 65.00),
(300311, 100069, 100011, 830.00),
(300312, 200025, 100012, 70.00),
(300313, 100079, 100013, 970.00),
(300314, 200032, 100014, 45.00),
(300315, 100089, 100015, 1015.00),
(300316, 100094, 100016, 1065.00),
(300317, 200042, 100017, 65.00),
(300318, 200047, 100018, 50.00),
(300319, 100104, 100019, 940.00),
(300320, 100117, 100020, 910.00),
(300321, 200062, 100021, 80.00),
(300322, 200072, 100022, 30.00),
(300323, 100122, 100023, 950.00),
(300324, 200082, 100024, 50.00),
(300325, 100137, 100025, 880.00),
(300326, 100144, 100026, 1080.00),
(300327, 200092, 100027, 70.00),
(300328, 200097, 100028, 55.00),
(300329, 100152, 100029, 940.00),
(300330, 100162, 100030, 950.00),
(300331, 200107, 100031, 75.00),
(300332, 200117, 100032, 65.00),
(300333, 100172, 100033, 990.00),
(300334, 100182, 100034, 930.00),
(300335, 200127, 100035, 55.00),
(300336, 200132, 100036, 30.00),
(300337, 100192, 100037, 910.00),
(300338, 100197, 100038, 890.00),
(300339, 200138, 100039, 75.00),
(300340, 200143, 100040, 60.00),
(300341, 100202, 100041, 1035.00),
(300342, 100207, 100042, 1075.00),
(300343, 200148, 100043, 70.00),
(300344, 200147, 100044, 85.00),
(300345, 100212, 100045, 1010.00),
(300346, 100217, 100046, 965.00),
(300347, 200008, 100047, 45.00),
(300348, 200023, 100048, 35.00),
(300349, 100222, 100049, 1045.00),
(300350, 200036, 100050, 55.00),
(300351, 300001, 100001, 640.00),
(300352, 300002, 100002, 770.00),
(300353, 300003, 100003, 860.00),
(300354, 400001, 100004, 45.00),
(300355, 400002, 100005, 50.00),
(300356, 300004, 100006, 910.00),
(300357, 300005, 100007, 895.00),
(300358, 400003, 100008, 55.00),
(300359, 300006, 100009, 1030.00),
(300360, 400004, 100010, 65.00),
(300361, 300007, 100011, 840.00),
(300362, 400005, 100012, 70.00),
(300363, 300008, 100013, 970.00),
(300364, 400006, 100014, 40.00),
(300365, 300009, 100015, 1015.00),
(300366, 300010, 100016, 1080.00),
(300367, 400007, 100017, 60.00),
(300368, 400008, 100018, 50.00),
(300369, 300011, 100019, 940.00),
(300370, 300012, 100020, 910.00),
(300371, 400009, 100021, 80.00),
(300372, 400010, 100022, 30.00),
(300373, 300013, 100023, 950.00),
(300374, 400011, 100024, 50.00),
(300375, 300014, 100025, 880.00),
(300376, 300015, 100026, 1090.00),
(300377, 400012, 100027, 75.00),
(300378, 400013, 100028, 55.00),
(300379, 300016, 100029, 940.00),
(300380, 300017, 100030, 950.00),
(300381, 400014, 100031, 70.00),
(300382, 400015, 100032, 65.00),
(300383, 300018, 100033, 990.00),
(300384, 300019, 100034, 930.00),
(300385, 400016, 100035, 55.00),
(300386, 400017, 100036, 30.00),
(300387, 300020, 100037, 910.00),
(300388, 300021, 100038, 890.00),
(300389, 400018, 100039, 75.00),
(300390, 400019, 100040, 60.00),
(300391, 300022, 100041, 1035.00),
(300392, 300023, 100042, 1075.00),
(300393, 400020, 100043, 70.00),
(300394, 400021, 100044, 85.00),
(300395, 300024, 100045, 1010.00),
(300396, 300025, 100046, 965.00),
(300397, 400022, 100047, 45.00),
(300398, 400023, 100048, 35.00),
(300399, 300026, 100049, 1045.00),
(300400, 400024, 100050, 55.00),
(300401, 300001, 100001, 670.00),
(300402, 400001, 100002, 42.00),
(300403, 300002, 100003, 800.00),
(300404, 300003, 100004, 880.00),
(300405, 400002, 100005, 55.00),
(300406, 300004, 100006, 910.00),
(300407, 300005, 100007, 905.00),
(300408, 400003, 100008, 60.00),
(300409, 300006, 100009, 1050.00),
(300410, 400004, 100010, 68.00),
(300411, 300007, 100011, 845.00),
(300412, 400005, 100012, 73.00),
(300413, 300008, 100013, 975.00),
(300414, 400006, 100014, 39.00),
(300415, 300009, 100015, 1025.00),
(300416, 300010, 100016, 1085.00),
(300417, 400007, 100017, 67.00),
(300418, 400008, 100018, 48.00),
(300419, 300011, 100019, 940.00),
(300420, 300012, 100020, 915.00),
(300421, 400009, 100021, 82.00),
(300422, 400010, 100022, 38.00),
(300423, 300013, 100023, 965.00),
(300424, 400011, 100024, 54.00),
(300425, 300014, 100025, 895.00),
(300426, 300015, 100026, 1095.00),
(300427, 400012, 100027, 78.00),
(300428, 400013, 100028, 62.00),
(300429, 300016, 100029, 935.00),
(300430, 300017, 100030, 980.00),
(300431, 400014, 100031, 58.00),
(300432, 400015, 100032, 66.00),
(300433, 300018, 100033, 990.00),
(300434, 300019, 100034, 940.00),
(300435, 400016, 100035, 69.00),
(300436, 400017, 100036, 37.00),
(300437, 300020, 100037, 910.00),
(300438, 300021, 100038, 880.00),
(300439, 400018, 100039, 77.00),
(300440, 400019, 100040, 65.00),
(300441, 300022, 100041, 1045.00),
(300442, 300023, 100042, 1085.00),
(300443, 400020, 100043, 72.00),
(300444, 400021, 100044, 90.00),
(300445, 300024, 100045, 1020.00),
(300446, 300025, 100046, 955.00),
(300447, 400022, 100047, 48.00),
(300448, 400023, 100048, 32.00),
(300449, 300026, 100049, 1035.00),
(300450, 400024, 100050, 50.00),
(300451, 400002, 100001, 40.00),
(300452, 300001, 100002, 850.00),
(300453, 400006, 100003, 55.00),
(300454, 300007, 100004, 900.00),
(300455, 400005, 100005, 70.00),
(300456, 300004, 100006, 920.00),
(300457, 300003, 100007, 870.00),
(300458, 400001, 100008, 60.00),
(300459, 400007, 100009, 75.00),
(300460, 400010, 100010, 45.00),
(300461, 400004, 100011, 50.00),
(300462, 300010, 100012, 950.00),
(300463, 300006, 100013, 1010.00),
(300464, 400003, 100014, 68.00),
(300465, 300008, 100015, 990.00),
(300466, 300002, 100016, 840.00),
(300467, 400008, 100017, 80.00),
(300468, 300013, 100018, 1025.00),
(300469, 400011, 100019, 72.00),
(300470, 300015, 100020, 930.00),
(300471, 300012, 100021, 890.00),
(300472, 400014, 100022, 58.00),
(300473, 300019, 100023, 915.00),
(300474, 300016, 100024, 1090.00),
(300475, 400020, 100025, 85.00),
(300476, 300014, 100026, 970.00),
(300477, 400012, 100027, 45.00),
(300478, 400019, 100028, 35.00),
(300479, 300020, 100029, 1020.00),
(300480, 300017, 100030, 900.00),
(300481, 400018, 100031, 60.00),
(300482, 300022, 100032, 1045.00),
(300483, 300021, 100033, 890.00),
(300484, 400015, 100034, 68.00),
(300485, 300023, 100035, 950.00),
(300486, 300025, 100036, 975.00),
(300487, 400022, 100037, 58.00),
(300488, 400013, 100038, 40.00),
(300489, 300024, 100039, 1070.00),
(300490, 400017, 100040, 35.00),
(300491, 300026, 100041, 1020.00),
(300492, 300001, 100042, 810.00),
(300493, 300018, 100043, 980.00),
(300494, 400009, 100044, 55.00),
(300495, 400021, 100045, 30.00),
(300496, 300009, 100046, 940.00),
(300497, 300011, 100047, 930.00),
(300498, 400023, 100048, 77.00),
(300499, 400008, 100049, 60.00),
(300500, 300005, 100050, 870.00);
