INSERT INTO ORDERBRANCHES (orderBranchId, orderId, branchId) VALUES
(800108, 670000108, 06),
(800109, 670000109, 05),
(800110, 670000110, 05),
(800111, 670000111, 02),
(800112, 670000112, 01),
(800113, 670000113, 04),
(800114, 670000114, 01),
(800115, 670000115, 08),
(800116, 670000116, 03),
(800117, 670000117, 02),
(800118, 670000118, 05),
(800119, 670000119, 09),
(800120, 670000120, 09),
(800121, 670000121, 06),
(800122, 670000122, 08),
(800123, 670000123, 01),
(800124, 670000124, 02),
(800125, 670000125, 04),
(800126, 670000126, 09),
(800127, 670000127, 09),
(800128, 670000128, 04),
(800129, 670000129, 06),
(800130, 670000130, 03),
(800131, 670000131, 01),
(800132, 670000132, 09),
(800133, 670000133, 08),
(800134, 670000134, 05),
(800135, 670000135, 01),
(800136, 670000136, 01),
(800137, 670000137, 10),
(800138, 670000138, 09),
(800139, 670000139, 01),
(800140, 670000140, 08),
(800141, 670000141, 09),
(800142, 670000142, 03),
(800143, 670000143, 01),
(800144, 670000144, 05),
(800145, 670000145, 07),
(800146, 670000146, 08),
(800147, 670000147, 06),
(800148, 670000148, 10),
(800149, 670000149, 06),
(800150, 670000150, 09),
(800151, 670000151, 09),
(800152, 670000152, 01),
(800153, 670000153, 02),
(800154, 670000154, 04),
(800155, 670000155, 03),
(800156, 670000156, 09),
(800157, 670000157, 02),
(800158, 670000158, 08),
(800159, 670000159, 06),
(800160, 670000160, 03),
(800161, 670000161, 07),
(800162, 670000162, 10),
(800163, 670000163, 05),
(800164, 670000164, 08),
(800165, 670000165, 02),
(800166, 670000166, 02),
(800167, 670000167, 08),
(800168, 670000168, 07),
(800169, 670000169, 09),
(800170, 670000170, 07),
(800171, 670000171, 05),
(800172, 670000172, 08),
(800173, 670000173, 03),
(800174, 670000174, 03),
(800175, 670000175, 05),
(800176, 670000176, 04),
(800177, 670000177, 05),
(800178, 670000178, 08),
(800179, 670000179, 06),
(800180, 670000180, 01),
(800181, 670000181, 02),
(800182, 670000182, 07),
(800183, 670000183, 02),
(800184, 670000184, 07),
(800185, 670000185, 05),
(800186, 670000186, 05),
(800187, 670000187, 06),
(800188, 670000188, 08),
(800189, 670000189, 07),
(800190, 670000190, 07),
(800191, 670000191, 09),
(800192, 670000192, 08),
(800193, 670000193, 09),
(800194, 670000194, 07),
(800195, 670000195, 10),
(800196, 670000196, 01),
(800197, 670000197, 02),
(800198, 670000198, 09),
(800199, 670000199, 04),
(800200, 670000200, 06),
(800201, 670000201, 03),
(800202, 670000202, 01),
(800203, 670000203, 10),
(800204, 670000204, 03),
(800205, 670000205, 06),
(800206, 670000206, 01),
(800207, 670000207, 02),
(800208, 670000208, 09),
(800209, 670000209, 10),
(800210, 670000210, 04),
(800211, 670000211, 06),
(800212, 670000212, 01),
(800213, 670000213, 01),
(800214, 670000214, 01),
(800215, 670000215, 06),
(800216, 670000216, 10),
(800217, 670000217, 10),
(800218, 670000218, 01),
(800219, 670000219, 02),
(800220, 670000220, 08),
(800221, 670000221, 09),
(800222, 670000222, 03),
(800223, 670000223, 04),
(800224, 670000224, 02),
(800225, 670000225, 05),
(800226, 670000226, 01),
(800227, 670000227, 08),
(800228, 670000228, 01),
(800229, 670000229, 05),
(800230, 670000230, 10),
(800231, 670000231, 01),
(800232, 670000232, 05),
(800233, 670000233, 02),
(800234, 670000234, 06),
(800235, 670000235, 03),
(800236, 670000236, 03),
(800237, 670000237, 10),
(800238, 670000238, 02),
(800239, 670000239, 02),
(800240, 670000240, 10),
(800241, 670000241, 10),
(800242, 670000242, 06),
(800243, 670000243, 09),
(800244, 670000244, 01),
(800245, 670000245, 05),
(800246, 670000246, 01),
(800247, 670000247, 03),
(800248, 670000248, 04),
(800249, 670000249, 02),
(800250, 670000250, 01),
(800251, 670000251, 04),
(800252, 670000252, 06),
(800253, 670000253, 10),
(800254, 670000254, 04),
(800255, 670000255, 10),
(800256, 670000256, 05),
(800257, 670000257, 03),
(800258, 670000258, 08),
(800259, 670000259, 03),
(800260, 670000260, 07),
(800261, 670000261, 06),
(800262, 670000262, 03),
(800263, 670000263, 06),
(800264, 670000264, 06),
(800265, 670000265, 06),
(800266, 670000266, 09),
(800267, 670000267, 06),
(800268, 670000268, 02),
(800269, 670000269, 07),
(800270, 670000270, 05),
(800271, 670000271, 08),
(800272, 670000272, 10),
(800273, 670000273, 02),
(800274, 670000274, 06),
(800275, 670000275, 09),
(800276, 670000276, 08),
(800277, 670000277, 06),
(800278, 670000278, 04),
(800279, 670000279, 01),
(800280, 670000280, 05),
(800281, 670000281, 10),
(800282, 670000282, 02),
(800283, 670000283, 09),
(800284, 670000284, 06),
(800285, 670000285, 03),
(800286, 670000286, 04),
(800287, 670000287, 08),
(800288, 670000288, 02),
(800289, 670000289, 07),
(800290, 670000290, 03),
(800291, 670000291, 02),
(800292, 670000292, 09),
(800293, 670000293, 04),
(800294, 670000294, 09),
(800295, 670000295, 06),
(800296, 670000296, 02),
(800297, 670000297, 02),
(800298, 670000298, 08),
(800299, 670000299, 03),
(800300, 670000300, 06),
(800301, 670000301, 07),
(800302, 670000302, 02),
(800303, 670000303, 07),
(800304, 670000304, 08),
(800305, 670000305, 10),
(800306, 670000306, 08),
(800307, 670000307, 02),
(800308, 670000308, 09),
(800309, 670000309, 02),
(800310, 670000310, 06),
(800311, 670000311, 08),
(800312, 670000312, 07),
(800313, 670000313, 04),
(800314, 670000314, 04),
(800315, 670000315, 01),
(800316, 670000316, 10),
(800317, 670000317, 01),
(800318, 670000318, 01),
(800319, 670000319, 07),
(800320, 670000320, 09),
(800321, 670000321, 09),
(800322, 670000322, 09),
(800323, 670000323, 05),
(800324, 670000324, 03),
(800325, 670000325, 02),
(800326, 670000326, 08),
(800327, 670000327, 06),
(800328, 670000328, 01),
(800329, 670000329, 02),
(800330, 670000330, 01),
(800331, 670000331, 01),
(800332, 670000332, 03),
(800333, 670000333, 06),
(800334, 670000334, 10),
(800335, 670000335, 08),
(800336, 670000336, 01),
(800337, 670000337, 03),
(800338, 670000338, 04),
(800339, 670000339, 01),
(800340, 670000340, 01),
(800341, 670000341, 10),
(800342, 670000342, 09),
(800343, 670000343, 09),
(800344, 670000344, 08),
(800345, 670000345, 05),
(800346, 670000346, 08),
(800347, 670000347, 03),
(800348, 670000348, 10),
(800349, 670000349, 10),
(800350, 670000350, 01),
(800351, 670000351, 01),
(800352, 670000352, 08),
(800353, 670000353, 09),
(800354, 670000354, 03),
(800355, 670000355, 05),
(800356, 670000356, 07),
(800357, 670000357, 02),
(800358, 670000358, 04),
(800359, 670000359, 03),
(800360, 670000360, 05),
(800361, 670000361, 10),
(800362, 670000362, 01),
(800363, 670000363, 03),
(800364, 670000364, 09),
(800365, 670000365, 01),
(800366, 670000366, 05),
(800367, 670000367, 09),
(800368, 670000368, 10),
(800369, 670000369, 01),
(800370, 670000370, 09),
(800371, 670000371, 07),
(800372, 670000372, 10),
(800373, 670000373, 06),
(800374, 670000374, 10),
(800375, 670000375, 02),
(800376, 670000376, 09),
(800377, 670000377, 05),
(800378, 670000378, 08),
(800379, 670000379, 10),
(800380, 670000380, 06),
(800381, 670000381, 08),
(800382, 670000382, 05),
(800383, 670000383, 03),
(800384, 670000384, 10),
(800385, 670000385, 10),
(800386, 670000386, 05),
(800387, 670000387, 06),
(800388, 670000388, 10),
(800389, 670000389, 03),
(800390, 670000390, 04),
(800391, 670000391, 09),
(800392, 670000392, 02),
(800393, 670000393, 01),
(800394, 670000394, 09),
(800395, 670000395, 10),
(800396, 670000396, 01),
(800397, 670000397, 10),
(800398, 670000398, 04),
(800399, 670000399, 08),
(800400, 670000400, 10),
(800401, 670000401, 10),
(800402, 670000402, 04),
(800403, 670000403, 01),
(800404, 670000404, 09),
(800405, 670000405, 02),
(800406, 670000406, 06),
(800407, 670000407, 07),
(800408, 670000408, 06),
(800409, 670000409, 09),
(800410, 670000410, 02),
(800411, 670000411, 03),
(800412, 670000412, 03),
(800413, 670000413, 07),
(800414, 670000414, 05),
(800415, 670000415, 08),
(800416, 670000416, 01),
(800417, 670000417, 02),
(800418, 670000418, 02),
(800419, 670000419, 04),
(800420, 670000420, 07),
(800421, 670000421, 03),
(800422, 670000422, 05),
(800423, 670000423, 04),
(800424, 670000424, 05),
(800425, 670000425, 01),
(800426, 670000426, 08),
(800427, 670000427, 09),
(800428, 670000428, 08),
(800429, 670000429, 03),
(800430, 670000430, 02),
(800431, 670000431, 04),
(800432, 670000432, 10),
(800433, 670000433, 03),
(800434, 670000434, 03),
(800435, 670000435, 04),
(800436, 670000436, 10),
(800437, 670000437, 07),
(800438, 670000438, 06),
(800439, 670000439, 10),
(800440, 670000440, 10),
(800441, 670000441, 03),
(800442, 670000442, 01),
(800443, 670000443, 08),
(800444, 670000444, 08),
(800445, 670000445, 01),
(800446, 670000446, 09),
(800447, 670000447, 06),
(800448, 670000448, 09),
(800449, 670000449, 03),
(800450, 670000450, 05),
(800451, 670000451, 01),
(800452, 670000452, 07),
(800453, 670000453, 03),
(800454, 670000454, 10),
(800455, 670000455, 02),
(800456, 670000456, 03),
(800457, 670000457, 04),
(800458, 670000458, 03),
(800459, 670000459, 08),
(800460, 670000460, 08),
(800461, 670000461, 03),
(800462, 670000462, 08),
(800463, 670000463, 10),
(800464, 670000464, 03),
(800465, 670000465, 05),
(800466, 670000466, 08),
(800467, 670000467, 03),
(800468, 670000468, 08),
(800469, 670000469, 03),
(800470, 670000470, 01),
(800471, 670000471, 09),
(800472, 670000472, 02),
(800473, 670000473, 02),
(800474, 670000474, 06),
(800475, 670000475, 08),
(800476, 670000476, 05),
(800477, 670000477, 02),
(800478, 670000478, 04),
(800479, 670000479, 04),
(800480, 670000480, 04),
(800481, 670000481, 09),
(800482, 670000482, 02),
(800483, 670000483, 05),
(800484, 670000484, 07),
(800485, 670000485, 06),
(800486, 670000486, 07),
(800487, 670000487, 05),
(800488, 670000488, 10),
(800489, 670000489, 03),
(800490, 670000490, 09),
(800491, 670000491, 09),
(800492, 670000492, 08),
(800493, 670000493, 03),
(800494, 670000494, 04),
(800495, 670000495, 03),
(800496, 670000496, 10),
(800497, 670000497, 07),
(800498, 670000498, 07),
(800499, 670000499, 09),
(800500, 670000500, 04);
