INSERT INTO ORDERDETAILS (orderId, productId, quantity, totalPrice) VALUES
(670000127, 100215, 2, 1000),
(670000128, 400032, 3, 1000),
(670000128, 300023, 2, 1000),
(670000129, 400037, 2, 1000),
(670000129, 400008, 1, 1000),
(670000130, 300042, 1, 1000),
(670000130, 100114, 1, 1000),
(670000131, 300006, 3, 1000),
(670000131, 300014, 2, 1000),
(670000132, 200036, 2, 1000),
(670000132, 200006, 1, 1000),
(670000133, 100159, 2, 1000),
(670000133, 400002, 3, 1000),
(670000134, 300001, 2, 1000),
(670000134, 400038, 1, 1000),
(670000135, 400003, 1, 1000),
(670000135, 200116, 3, 1000),
(670000136, 200117, 3, 1000),
(670000136, 400030, 1, 1000),
(670000137, 400029, 3, 1000),
(670000137, 200026, 1, 1000),
(670000138, 400012, 3, 1000),
(670000138, 100187, 1, 1000),
(670000139, 200040, 3, 1000),
(670000139, 300015, 3, 1000),
(670000140, 400021, 3, 1000),
(670000140, 400025, 3, 1000),
(670000141, 300008, 1, 1000),
(670000141, 100069, 1, 1000),
(670000142, 300025, 1, 1000),
(670000142, 200117, 1, 1000),
(670000143, 100229, 3, 1000),
(670000143, 200059, 3, 1000),
(670000144, 200049, 2, 1000),
(670000144, 200096, 1, 1000),
(670000145, 200035, 3, 1000),
(670000145, 400023, 2, 1000),
(670000146, 200026, 3, 1000),
(670000146, 200071, 2, 1000),
(670000147, 400018, 1, 1000),
(670000147, 400044, 3, 1000),
(670000148, 100012, 3, 1000),
(670000148, 400033, 2, 1000),
(670000149, 300029, 1, 1000),
(670000149, 200079, 2, 1000),
(670000150, 300037, 2, 1000),
(670000150, 400011, 2, 1000),
(670000151, 300010, 3, 1000),
(670000151, 300008, 3, 1000),
(670000152, 200016, 2, 1000),
(670000152, 300031, 2, 1000),
(670000153, 400005, 2, 1000),
(670000153, 200046, 2, 1000),
(670000154, 400002, 1, 1000),
(670000154, 400034, 2, 1000),
(670000155, 200090, 1, 1000),
(670000155, 200035, 1, 1000),
(670000156, 100193, 1, 1000),
(670000156, 300050, 2, 1000),
(670000157, 100038, 1, 1000),
(670000157, 300012, 1, 1000),
(670000158, 200065, 1, 1000),
(670000158, 300033, 3, 1000),
(670000159, 300042, 2, 1000),
(670000159, 300050, 1, 1000),
(670000160, 100015, 1, 1000),
(670000160, 200046, 1, 1000),
(670000161, 200064, 2, 1000),
(670000161, 400015, 1, 1000),
(670000162, 200043, 2, 1000),
(670000162, 300046, 2, 1000),
(670000163, 200047, 2, 1000),
(670000163, 100100, 3, 1000),
(670000164, 200081, 1, 1000),
(670000164, 400034, 1, 1000),
(670000165, 100051, 1, 1000),
(670000165, 400030, 3, 1000),
(670000166, 100235, 2, 1000),
(670000166, 400027, 3, 1000),
(670000167, 100099, 1, 1000),
(670000167, 200049, 2, 1000),
(670000168, 300048, 2, 1000),
(670000168, 100231, 2, 1000),
(670000169, 100115, 3, 1000),
(670000169, 200034, 2, 1000),
(670000170, 200017, 1, 1000),
(670000170, 200144, 3, 1000),
(670000171, 300013, 2, 1000),
(670000171, 300029, 3, 1000),
(670000172, 300022, 1, 1000),
(670000172, 200083, 2, 1000),
(670000173, 100201, 3, 1000),
(670000173, 300037, 3, 1000),
(670000174, 200128, 3, 1000),
(670000174, 300022, 1, 1000),
(670000175, 300037, 3, 1000),
(670000175, 300001, 2, 1000),
(670000176, 100096, 3, 1000),
(670000176, 400040, 3, 1000),
(670000177, 100172, 2, 1000),
(670000177, 100149, 1, 1000),
(670000178, 200024, 3, 1000),
(670000178, 100096, 1, 1000),
(670000179, 400047, 3, 1000),
(670000179, 200001, 3, 1000),
(670000180, 400017, 3, 1000),
(670000180, 100133, 3, 1000),
(670000181, 300029, 3, 1000),
(670000181, 200041, 1, 1000),
(670000182, 300021, 1, 1000),
(670000182, 300049, 2, 1000),
(670000183, 300020, 2, 1000),
(670000183, 400039, 1, 1000),
(670000184, 100132, 2, 1000),
(670000184, 200119, 1, 1000),
(670000185, 200138, 1, 1000),
(670000185, 100018, 3, 1000),
(670000186, 300050, 2, 1000),
(670000186, 100068, 1, 1000),
(670000187, 300020, 1, 1000),
(670000187, 100121, 3, 1000),
(670000188, 100105, 1, 1000),
(670000188, 400015, 3, 1000),
(670000189, 100090, 1, 1000),
(670000189, 400016, 1, 1000),
(670000190, 300007, 1, 1000),
(670000190, 300002, 1, 1000),
(670000191, 200089, 1, 1000),
(670000191, 100154, 3, 1000),
(670000192, 200116, 2, 1000),
(670000192, 300026, 3, 1000),
(670000193, 400035, 3, 1000),
(670000193, 300002, 3, 1000),
(670000194, 400012, 3, 1000),
(670000194, 400037, 2, 1000),
(670000195, 100043, 2, 1000),
(670000195, 200054, 1, 1000),
(670000196, 100073, 1, 1000),
(670000196, 100177, 1, 1000),
(670000197, 300037, 3, 1000),
(670000197, 400022, 2, 1000),
(670000198, 100115, 2, 1000),
(670000198, 200055, 2, 1000),
(670000199, 200066, 1, 1000),
(670000199, 400033, 2, 1000),
(670000200, 400003, 1, 1000),
(670000200, 400021, 3, 1000),
(670000201, 300043, 1, 1000),
(670000201, 300005, 1, 1000),
(670000202, 200029, 3, 1000),
(670000202, 100221, 1, 1000),
(670000203, 400015, 3, 1000),
(670000203, 100201, 1, 1000),
(670000204, 400032, 2, 1000),
(670000204, 300041, 2, 1000),
(670000205, 400038, 3, 1000),
(670000205, 300015, 3, 1000),
(670000206, 400013, 2, 1000),
(670000206, 100114, 1, 1000),
(670000207, 300003, 2, 1000),
(670000207, 300005, 1, 1000),
(670000208, 400046, 2, 1000),
(670000208, 300007, 2, 1000),
(670000209, 300004, 1, 1000),
(670000209, 400020, 1, 1000),
(670000210, 100013, 2, 1000),
(670000210, 300019, 2, 1000),
(670000211, 100050, 2, 1000),
(670000211, 100124, 1, 1000),
(670000212, 400017, 2, 1000),
(670000212, 300039, 1, 1000),
(670000213, 400003, 3, 1000),
(670000213, 200144, 2, 1000),
(670000214, 100094, 3, 1000),
(670000214, 300001, 2, 1000),
(670000215, 300023, 2, 1000),
(670000215, 400023, 2, 1000),
(670000216, 300025, 3, 1000),
(670000216, 300018, 3, 1000),
(670000217, 100069, 2, 1000),
(670000217, 300010, 1, 1000),
(670000218, 200089, 1, 1000),
(670000218, 200126, 3, 1000),
(670000219, 100010, 3, 1000),
(670000219, 400003, 3, 1000),
(670000220, 200073, 2, 1000),
(670000220, 300050, 1, 1000),
(670000221, 100229, 3, 1000),
(670000221, 300040, 2, 1000),
(670000222, 100069, 1, 1000),
(670000222, 100045, 3, 1000),
(670000223, 200088, 2, 1000),
(670000223, 300015, 3, 1000),
(670000224, 300034, 1, 1000),
(670000224, 100158, 2, 1000),
(670000225, 400023, 2, 1000),
(670000225, 400048, 2, 1000),
(670000226, 200112, 2, 1000),
(670000226, 400018, 2, 1000),
(670000227, 400014, 1, 1000),
(670000227, 400044, 1, 1000),
(670000228, 400031, 1, 1000),
(670000228, 200024, 2, 1000),
(670000229, 200080, 1, 1000),
(670000229, 100004, 3, 1000),
(670000230, 400002, 2, 1000),
(670000230, 200144, 3, 1000),
(670000231, 400027, 2, 1000),
(670000231, 200110, 3, 1000),
(670000232, 100052, 2, 1000),
(670000232, 400037, 1, 1000),
(670000233, 100249, 1, 1000),
(670000233, 400003, 3, 1000),
(670000234, 100125, 3, 1000),
(670000234, 300050, 1, 1000),
(670000235, 200045, 1, 1000),
(670000235, 100058, 2, 1000),
(670000236, 200138, 2, 1000),
(670000236, 300043, 1, 1000),
(670000237, 200088, 1, 1000),
(670000237, 100066, 3, 1000),
(670000238, 400039, 1, 1000),
(670000238, 100019, 3, 1000),
(670000239, 300023, 3, 1000),
(670000239, 200052, 2, 1000),
(670000240, 300021, 1, 1000),
(670000240, 100199, 1, 1000),
(670000241, 200110, 2, 1000),
(670000241, 400020, 2, 1000),
(670000242, 200087, 2, 1000),
(670000242, 400045, 2, 1000),
(670000243, 100023, 1, 1000),
(670000243, 100039, 1, 1000),
(670000244, 400004, 2, 1000),
(670000244, 300023, 3, 1000),
(670000245, 300045, 3, 1000),
(670000245, 400021, 3, 1000),
(670000246, 200049, 2, 1000),
(670000246, 200137, 3, 1000),
(670000247, 400025, 3, 1000),
(670000247, 200111, 2, 1000),
(670000248, 200063, 3, 1000),
(670000248, 200072, 3, 1000),
(670000249, 300047, 3, 1000),
(670000249, 200039, 1, 1000),
(670000250, 300002, 3, 1000),
(670000250, 200132, 3, 1000),
(670000251, 100230, 1, 1000),
(670000251, 100153, 2, 1000),
(670000252, 200045, 3, 1000),
(670000252, 200068, 3, 1000),
(670000253, 100002, 2, 1000),
(670000253, 300010, 1, 1000),
(670000254, 100089, 1, 1000),
(670000254, 200126, 1, 1000),
(670000255, 300046, 2, 1000),
(670000255, 300016, 1, 1000),
(670000256, 300023, 1, 1000),
(670000256, 400031, 1, 1000),
(670000257, 300034, 3, 1000),
(670000257, 300034, 2, 1000),
(670000258, 200136, 2, 1000),
(670000258, 200127, 3, 1000),
(670000259, 200078, 1, 1000),
(670000259, 100237, 3, 1000),
(670000260, 300010, 2, 1000),
(670000260, 100088, 3, 1000),
(670000261, 100218, 1, 1000),
(670000261, 100148, 3, 1000),
(670000262, 400049, 3, 1000),
(670000262, 100011, 2, 1000),
(670000263, 200139, 1, 1000),
(670000263, 200049, 3, 1000),
(670000264, 200087, 1, 1000),
(670000264, 100138, 1, 1000),
(670000265, 100160, 3, 1000),
(670000265, 400032, 2, 1000),
(670000266, 200137, 2, 1000),
(670000266, 300005, 2, 1000),
(670000267, 300010, 1, 1000),
(670000267, 200049, 1, 1000),
(670000268, 400014, 1, 1000),
(670000268, 300016, 1, 1000),
(670000269, 100174, 3, 1000),
(670000269, 400047, 3, 1000),
(670000270, 300029, 3, 1000),
(670000270, 200149, 2, 1000),
(670000271, 400013, 2, 1000),
(670000271, 200046, 1, 1000),
(670000272, 100090, 3, 1000),
(670000272, 400032, 3, 1000),
(670000273, 200077, 1, 1000),
(670000273, 400015, 3, 1000),
(670000274, 100058, 3, 1000),
(670000274, 400050, 3, 1000),
(670000275, 300047, 2, 1000),
(670000275, 300018, 3, 1000),
(670000276, 300029, 1, 1000),
(670000276, 100093, 1, 1000),
(670000277, 400040, 2, 1000),
(670000277, 100190, 3, 1000),
(670000278, 400028, 2, 1000),
(670000278, 100218, 2, 1000),
(670000279, 200018, 2, 1000),
(670000279, 100010, 3, 1000),
(670000280, 400041, 3, 1000),
(670000280, 400027, 3, 1000),
(670000281, 200061, 2, 1000),
(670000281, 100206, 2, 1000),
(670000282, 100025, 2, 1000),
(670000282, 200077, 2, 1000),
(670000283, 400027, 1, 1000),
(670000283, 400036, 2, 1000),
(670000284, 100049, 1, 1000),
(670000284, 300038, 1, 1000),
(670000285, 400003, 3, 1000),
(670000285, 400016, 2, 1000),
(670000286, 400037, 2, 1000),
(670000286, 400004, 2, 1000),
(670000287, 300014, 1, 1000),
(670000287, 400022, 2, 1000),
(670000288, 100154, 1, 1000),
(670000288, 300004, 3, 1000),
(670000289, 100244, 1, 1000),
(670000289, 100178, 3, 1000),
(670000290, 200022, 2, 1000),
(670000290, 400024, 3, 1000),
(670000291, 300020, 2, 1000),
(670000291, 200022, 1, 1000),
(670000292, 400001, 3, 1000),
(670000292, 300028, 3, 1000),
(670000293, 400044, 2, 1000),
(670000293, 300020, 2, 1000),
(670000294, 400023, 2, 1000),
(670000294, 200127, 2, 1000),
(670000295, 200091, 1, 1000),
(670000295, 400041, 2, 1000),
(670000296, 400016, 3, 1000),
(670000296, 400022, 2, 1000),
(670000297, 100158, 1, 1000),
(670000297, 300050, 1, 1000),
(670000298, 400020, 2, 1000),
(670000298, 300047, 1, 1000),
(670000299, 400040, 2, 1000),
(670000299, 300039, 3, 1000),
(670000300, 200100, 1, 1000),
(670000300, 200051, 3, 1000),
(670000301, 100046, 1, 1000),
(670000301, 400003, 3, 1000),
(670000302, 100082, 1, 1000),
(670000302, 400010, 2, 1000),
(670000303, 300046, 3, 1000),
(670000303, 100122, 2, 1000),
(670000304, 100169, 2, 1000),
(670000304, 200066, 2, 1000),
(670000305, 400024, 1, 1000),
(670000305, 100098, 2, 1000),
(670000306, 400014, 2, 1000),
(670000306, 200099, 3, 1000),
(670000307, 100243, 3, 1000),
(670000307, 300040, 2, 1000),
(670000308, 200046, 2, 1000),
(670000308, 300028, 1, 1000),
(670000309, 200112, 2, 1000),
(670000309, 200021, 2, 1000),
(670000310, 200092, 2, 1000),
(670000310, 100182, 2, 1000),
(670000311, 200060, 1, 1000),
(670000311, 100144, 2, 1000),
(670000312, 300047, 2, 1000),
(670000312, 400037, 2, 1000),
(670000313, 200139, 2, 1000),
(670000313, 300023, 1, 1000),
(670000314, 200144, 3, 1000),
(670000314, 300032, 3, 1000),
(670000315, 400035, 2, 1000),
(670000315, 300022, 2, 1000),
(670000316, 400002, 2, 1000),
(670000316, 200134, 2, 1000),
(670000317, 300004, 2, 1000),
(670000317, 300021, 3, 1000),
(670000318, 200009, 1, 1000),
(670000318, 400031, 3, 1000),
(670000319, 300019, 2, 1000),
(670000319, 100052, 2, 1000),
(670000320, 300001, 2, 1000),
(670000320, 400020, 1, 1000),
(670000321, 100079, 3, 1000),
(670000321, 400031, 3, 1000),
(670000322, 400030, 3, 1000),
(670000322, 100042, 2, 1000),
(670000323, 200099, 3, 1000),
(670000323, 400002, 1, 1000),
(670000324, 300038, 3, 1000),
(670000324, 400029, 3, 1000),
(670000325, 300036, 3, 1000),
(670000325, 400029, 2, 1000),
(670000326, 400031, 1, 1000),
(670000326, 100220, 1, 1000),
(670000327, 400024, 1, 1000),
(670000327, 200003, 2, 1000),
(670000328, 400016, 3, 1000),
(670000328, 300021, 2, 1000),
(670000329, 400028, 1, 1000),
(670000329, 100116, 3, 1000),
(670000330, 400023, 1, 1000),
(670000330, 200111, 1, 1000),
(670000331, 100145, 1, 1000),
(670000331, 400002, 1, 1000),
(670000332, 400039, 3, 1000),
(670000332, 100117, 2, 1000),
(670000333, 200004, 3, 1000),
(670000333, 300020, 1, 1000),
(670000334, 400045, 1, 1000),
(670000334, 400004, 3, 1000),
(670000335, 200143, 1, 1000),
(670000335, 300045, 2, 1000),
(670000336, 400036, 2, 1000),
(670000336, 400001, 3, 1000),
(670000337, 200118, 2, 1000),
(670000337, 200052, 2, 1000),
(670000338, 100102, 1, 1000),
(670000338, 400005, 1, 1000),
(670000339, 100006, 2, 1000),
(670000339, 200145, 3, 1000),
(670000340, 300036, 2, 1000),
(670000340, 200113, 3, 1000),
(670000341, 100015, 3, 1000),
(670000341, 400045, 3, 1000),
(670000342, 300013, 1, 1000),
(670000342, 100156, 3, 1000),
(670000343, 400003, 2, 1000),
(670000343, 400008, 1, 1000),
(670000344, 400045, 1, 1000),
(670000344, 100038, 2, 1000),
(670000345, 200093, 2, 1000),
(670000345, 400048, 2, 1000),
(670000346, 300042, 2, 1000),
(670000346, 200115, 3, 1000),
(670000347, 200001, 1, 1000),
(670000347, 300010, 2, 1000),
(670000348, 200035, 3, 1000),
(670000348, 400035, 2, 1000),
(670000349, 100113, 3, 1000),
(670000349, 200049, 1, 1000),
(670000350, 300025, 3, 1000),
(670000350, 100167, 2, 1000),
(670000351, 100020, 1, 1000),
(670000351, 300043, 3, 1000),
(670000352, 400017, 2, 1000),
(670000352, 400045, 2, 1000),
(670000353, 300041, 2, 1000),
(670000353, 300050, 1, 1000),
(670000354, 200013, 3, 1000),
(670000354, 400018, 1, 1000),
(670000355, 400035, 1, 1000),
(670000355, 300038, 1, 1000),
(670000356, 300038, 2, 1000),
(670000356, 100031, 2, 1000),
(670000357, 300035, 1, 1000),
(670000357, 200149, 2, 1000),
(670000358, 100115, 3, 1000),
(670000358, 300024, 2, 1000),
(670000359, 100188, 1, 1000),
(670000359, 300001, 1, 1000),
(670000360, 400025, 1, 1000),
(670000360, 400029, 1, 1000),
(670000361, 300034, 3, 1000),
(670000361, 200145, 1, 1000),
(670000362, 100090, 3, 1000),
(670000362, 100193, 2, 1000),
(670000363, 400049, 2, 1000),
(670000363, 200124, 3, 1000),
(670000364, 100197, 2, 1000),
(670000364, 400033, 3, 1000),
(670000365, 200033, 2, 1000),
(670000365, 200029, 3, 1000),
(670000366, 200122, 1, 1000),
(670000366, 400031, 1, 1000),
(670000367, 400042, 2, 1000),
(670000367, 300041, 2, 1000),
(670000368, 400045, 2, 1000),
(670000368, 300038, 2, 1000),
(670000369, 300015, 2, 1000),
(670000369, 200054, 3, 1000),
(670000370, 300003, 1, 1000),
(670000370, 100052, 2, 1000),
(670000371, 300042, 1, 1000),
(670000371, 200117, 1, 1000),
(670000372, 100160, 2, 1000),
(670000372, 200066, 2, 1000),
(670000373, 200082, 1, 1000),
(670000373, 400023, 1, 1000),
(670000374, 400047, 3, 1000),
(670000374, 200058, 3, 1000),
(670000375, 200139, 3, 1000),
(670000375, 400017, 1, 1000),
(670000376, 300009, 2, 1000),
(670000376, 100107, 1, 1000),
(670000377, 200087, 3, 1000),
(670000377, 200147, 2, 1000),
(670000378, 100214, 2, 1000),
(670000378, 400009, 2, 1000),
(670000379, 400010, 1, 1000),
(670000379, 100249, 1, 1000),
(670000380, 300029, 3, 1000),
(670000380, 200092, 2, 1000),
(670000381, 400033, 3, 1000),
(670000381, 200115, 3, 1000),
(670000382, 300029, 1, 1000),
(670000382, 100129, 1, 1000),
(670000383, 300049, 1, 1000),
(670000383, 400048, 2, 1000),
(670000384, 200054, 1, 1000),
(670000384, 200034, 1, 1000),
(670000385, 400020, 2, 1000),
(670000385, 200021, 1, 1000),
(670000386, 200011, 1, 1000),
(670000386, 200027, 1, 1000),
(670000387, 100019, 1, 1000),
(670000387, 200120, 3, 1000),
(670000388, 400005, 1, 1000),
(670000388, 200008, 3, 1000),
(670000389, 200082, 1, 1000),
(670000389, 300034, 3, 1000),
(670000390, 200078, 2, 1000),
(670000390, 200099, 1, 1000),
(670000391, 200127, 1, 1000),
(670000391, 100006, 1, 1000),
(670000392, 400026, 2, 1000),
(670000392, 100175, 2, 1000),
(670000393, 400028, 1, 1000),
(670000393, 300026, 3, 1000),
(670000394, 200066, 1, 1000),
(670000394, 300010, 3, 1000),
(670000395, 200064, 2, 1000),
(670000395, 100021, 1, 1000),
(670000396, 300016, 2, 1000),
(670000396, 100079, 3, 1000),
(670000397, 100226, 1, 1000),
(670000397, 200059, 1, 1000),
(670000398, 300007, 1, 1000),
(670000398, 200037, 2, 1000),
(670000399, 200045, 2, 1000),
(670000399, 200051, 3, 1000),
(670000400, 300040, 2, 1000),
(670000400, 300037, 1, 1000),
(670000401, 200129, 3, 1000),
(670000401, 100094, 3, 1000),
(670000402, 200120, 1, 1000),
(670000402, 200135, 1, 1000),
(670000403, 400004, 3, 1000),
(670000403, 200130, 1, 1000),
(670000404, 300035, 3, 1000),
(670000404, 300006, 3, 1000),
(670000405, 400043, 2, 1000),
(670000405, 300042, 3, 1000),
(670000406, 300025, 3, 1000),
(670000406, 200139, 2, 1000),
(670000407, 300023, 3, 1000),
(670000407, 200103, 1, 1000),
(670000408, 200080, 1, 1000),
(670000408, 100061, 2, 1000),
(670000409, 200005, 2, 1000),
(670000409, 200072, 3, 1000),
