INSERT INTO WARRANTIES (warrantyId, claimDate, validDurationMonth, isClaimed, customerId, productId) VALUES
(660189, '2024-08-27 09:15:00', 3, 0, 100000173, 100009),
(660190, '2024-08-28 12:45:00', 6, 1, 100000144, 100042),
(660191, '2024-08-29 11:00:00', 12, 0, 100000113, 400050),
(660192, '2024-08-30 15:15:00', 6, 1, 100000230, 400022),
(660193, '2024-08-31 10:00:00', 24, 0, 100000019, 100037),
(660194, '2024-07-01 13:30:00', 12, 0, 100000091, 100008),
(660195, '2024-07-02 10:00:00', 3, 1, 100000220, 400015),
(660196, '2024-07-03 14:15:00', 6, 0, 100000097, 400005),
(660197, '2024-07-04 08:45:00', 12, 1, 100000051, 100038),
(660198, '2024-07-05 12:30:00', 3, 0, 100000003, 400038),
(660199, '2024-07-06 15:15:00', 6, 1, 100000198, 100012),
(660200, '2024-07-07 14:45:00', 12, 0, 100000015, 400044);

INSERT INTO WARRANTIES (warrantyId, claimDate, validDurationMonth, isClaimed, customerId, productId) VALUES
(660201, '2024-07-08 09:45:00', 12, 1, 100000072, 100012),
(660202, '2024-07-09 14:30:00', 6, 0, 100000185, 400035),
(660203, '2024-07-10 10:00:00', 12, 1, 100000099, 100046),
(660204, '2024-07-11 15:15:00', 24, 0, 100000014, 400024),
(660205, '2024-07-12 12:45:00', 3, 1, 100000250, 100034),
(660206, '2024-07-13 10:00:00', 12, 0, 100000129, 400007),
(660207, '2024-07-14 14:00:00', 6, 1, 100000213, 100001),
(660208, '2024-07-15 09:30:00', 12, 0, 100000047, 400043),
(660209, '2024-07-16 11:30:00', 6, 1, 100000193, 400022),
(660210, '2024-07-17 13:15:00', 3, 0, 100000165, 100030),
(660211, '2024-07-18 10:45:00', 12, 1, 100000028, 400008),
(660212, '2024-07-19 14:15:00', 6, 0, 100000058, 100023),
(660213, '2024-07-20 13:30:00', 3, 1, 100000072, 400042),
(660214, '2024-07-21 10:30:00', 12, 0, 100000087, 400017),
(660215, '2024-07-22 09:00:00', 6, 1, 100000125, 100048),
(660216, '2024-07-23 12:00:00', 3, 0, 100000197, 400006),
(660217, '2024-07-24 15:15:00', 12, 1, 100000080, 100018),
(660218, '2024-07-25 14:00:00', 6, 0, 100000112, 400029),
(660219, '2024-07-26 10:15:00', 3, 1, 100000159, 400014),
(660220, '2024-07-27 11:30:00', 12, 0, 100000021, 100038),
(660221, '2024-07-28 13:45:00', 6, 1, 100000135, 100002),
(660222, '2024-07-29 09:00:00', 3, 0, 100000195, 400001),
(660223, '2024-07-30 10:30:00', 12, 1, 100000109, 400025),
(660224, '2024-07-31 14:15:00', 6, 0, 100000060, 400032),
(660225, '2024-08-01 13:00:00', 12, 1, 100000072, 100013),
(660226, '2024-08-02 12:45:00', 6, 0, 100000082, 400009),
(660227, '2024-08-03 10:00:00', 3, 1, 100000139, 400044),
(660228, '2024-08-04 14:30:00', 12, 0, 100000066, 100019),
(660229, '2024-08-05 09:15:00', 6, 1, 100000147, 400026),
(660230, '2024-08-06 11:00:00', 3, 0, 100000017, 400041),
(660231, '2024-08-07 15:15:00', 12, 1, 100000145, 100016),
(660232, '2024-08-08 10:30:00', 6, 0, 100000082, 400019),
(660233, '2024-08-09 13:30:00', 3, 1, 100000086, 100004),
(660234, '2024-08-10 12:00:00', 12, 0, 100000151, 400015),
(660235, '2024-08-11 14:45:00', 6, 1, 100000037, 400040),
(660236, '2024-08-12 10:15:00', 3, 0, 100000184, 100045),
(660237, '2024-08-13 11:30:00', 12, 1, 100000030, 400050),
(660238, '2024-08-14 15:00:00', 6, 0, 100000134, 100031),
(660239, '2024-08-15 09:30:00', 3, 1, 100000002, 400042),
(660240, '2024-08-16 12:30:00', 12, 0, 100000104, 400011),
(660241, '2024-08-17 14:00:00', 6, 1, 100000079, 100025),
(660242, '2024-08-18 10:15:00', 3, 0, 100000181, 400047),
(660243, '2024-08-19 11:45:00', 12, 1, 100000143, 100013),
(660244, '2024-08-20 15:30:00', 6, 0, 100000199, 400038),
(660245, '2024-08-21 10:00:00', 12, 1, 100000098, 100028),
(660246, '2024-08-22 12:00:00', 3, 0, 100000088, 400027),
(660247, '2024-08-23 14:15:00', 6, 1, 100000162, 100022),
(660248, '2024-08-24 13:00:00', 12, 0, 100000125, 400044),
(660249, '2024-08-25 10:30:00', 6, 1, 100000064, 100042),
(660250, '2024-08-26 11:45:00', 3, 0, 100000107, 400002);

INSERT INTO WARRANTIES (warrantyId, claimDate, validDurationMonth, isClaimed, customerId, productId) VALUES
(660251, '2024-07-01 10:00:00', 12, 0, 100000199, 100012),
(660252, '2024-07-02 11:15:00', 6, 1, 100000115, 400041),
(660253, '2024-07-03 14:30:00', 12, 0, 100000041, 100034),
(660254, '2024-07-04 12:00:00', 3, 1, 100000175, 400027),
(660255, '2024-07-05 13:45:00', 6, 0, 100000027, 100024),
(660256, '2024-07-06 09:30:00', 12, 1, 100000032, 400005),
(660257, '2024-07-07 15:00:00', 24, 0, 100000021, 100046),
(660258, '2024-07-08 14:15:00', 3, 1, 100000167, 400036),
(660259, '2024-07-09 11:30:00', 12, 0, 100000067, 100011),
(660260, '2024-07-10 10:30:00', 6, 1, 100000165, 400015),
(660261, '2024-07-11 14:00:00', 12, 0, 100000195, 400013),
(660262, '2024-07-12 15:15:00', 3, 1, 100000098, 100040),
(660263, '2024-07-13 13:45:00', 12, 0, 100000060, 400008),
(660264, '2024-07-14 10:00:00', 6, 1, 100000154, 400007),
(660265, '2024-07-15 12:30:00', 12, 0, 100000046, 100021),
(660266, '2024-07-16 14:45:00', 6, 1, 100000023, 100014),
(660267, '2024-07-17 13:15:00', 3, 0, 100000135, 400018),
(660268, '2024-07-18 11:00:00', 12, 1, 100000087, 100005),
(660269, '2024-07-19 10:30:00', 6, 0, 100000072, 400045),
(660270, '2024-07-20 12:15:00', 12, 1, 100000099, 100044),
(660271, '2024-07-21 14:30:00', 3, 0, 100000162, 400003),
(660272, '2024-07-22 11:30:00', 12, 1, 100000050, 400002),
(660273, '2024-07-23 15:00:00', 6, 0, 100000077, 100010),
(660274, '2024-07-24 13:45:00', 12, 1, 100000155, 400026),
(660275, '2024-07-25 14:00:00', 6, 0, 100000158, 400019),
(660276, '2024-07-26 10:15:00', 3, 1, 100000046, 100032),
(660277, '2024-07-27 12:00:00', 12, 0, 100000173, 400004),
(660278, '2024-07-28 10:30:00', 6, 1, 100000008, 100036),
(660279, '2024-07-29 15:30:00', 12, 0, 100000145, 400016),
(660280, '2024-07-30 09:00:00', 3, 1, 100000057, 400017),
(660281, '2024-08-01 14:15:00', 12, 0, 100000128, 100029),
(660282, '2024-08-02 13:00:00', 6, 1, 100000099, 400039),
(660283, '2024-08-03 12:45:00', 3, 0, 100000177, 400010),
(660284, '2024-08-04 10:00:00', 12, 1, 100000019, 100001),
(660285, '2024-08-05 14:00:00', 6, 0, 100000080, 400031),
(660286, '2024-08-06 09:15:00', 12, 1, 100000045, 100041),
(660287, '2024-08-07 15:15:00', 3, 0, 100000053, 400021),
(660288, '2024-08-08 14:30:00', 6, 1, 100000145, 400037),
(660289, '2024-08-09 12:00:00', 12, 0, 100000070, 400034),
(660290, '2024-08-10 11:30:00', 6, 1, 100000061, 400012),
(660291, '2024-08-11 15:45:00', 3, 0, 100000155, 100027),
(660292, '2024-08-12 10:30:00', 12, 1, 100000078, 100018),
(660293, '2024-08-13 13:00:00', 6, 0, 100000072, 400050),
(660294, '2024-08-14 14:15:00', 3, 1, 100000032, 100017),
(660295, '2024-08-15 11:00:00', 12, 0, 100000074, 400025),
(660296, '2024-08-16 14:30:00', 6, 1, 100000186, 100023),
(660297, '2024-08-17 12:00:00', 3, 0, 100000143, 400046),
(660298, '2024-08-18 15:30:00', 12, 1, 100000059, 400038),
(660299, '2024-08-19 10:15:00', 6, 0, 100000133, 100030),
(660300, '2024-08-20 13:45:00', 12, 1, 100000166, 400014);

INSERT INTO WARRANTIES (warrantyId, claimDate, validDurationMonth, isClaimed, customerId, productId) VALUES
(660301, '2024-07-01 10:30:00', 12, 1, 100000055, 400042),
(660302, '2024-07-02 11:45:00', 6, 0, 100000107, 100025),
(660303, '2024-07-03 14:15:00', 3, 1, 100000014, 400050),
(660304, '2024-07-04 12:00:00', 24, 0, 100000121, 100049),
(660305, '2024-07-05 13:30:00', 6, 1, 100000042, 400012),
(660306, '2024-07-06 09:00:00', 12, 0, 100000165, 100030),
(660307, '2024-07-07 15:00:00', 12, 1, 100000078, 400019),
(660308, '2024-07-08 14:30:00', 3, 0, 100000029, 100013),
(660309, '2024-07-09 10:00:00', 12, 1, 100000058, 400027),
(660310, '2024-07-10 14:00:00', 6, 0, 100000141, 100045),
(660311, '2024-07-11 13:15:00', 12, 1, 100000075, 400011),
(660312, '2024-07-12 10:45:00', 3, 0, 100000159, 100050),
(660313, '2024-07-13 12:30:00', 12, 1, 100000067, 400004),
(660314, '2024-07-14 14:00:00', 6, 0, 100000140, 100028),
(660315, '2024-07-15 13:00:00', 3, 1, 100000144, 400007),
(660316, '2024-07-16 11:30:00', 12, 0, 100000165, 400005),
(660317, '2024-07-17 10:15:00', 6, 1, 100000015, 100022),
(660318, '2024-07-18 14:15:00', 12, 0, 100000098, 400022),
(660319, '2024-07-19 15:00:00', 3, 1, 100000063, 100020),
(660320, '2024-07-20 12:45:00', 12, 0, 100000090, 400026),
(660321, '2024-07-21 09:00:00', 6, 1, 100000089, 400037),
(660322, '2024-07-22 13:30:00', 12, 0, 100000049, 100045),
(660323, '2024-07-23 14:30:00', 6, 1, 100000046, 100008),
(660324, '2024-07-24 11:00:00', 3, 0, 100000125, 400031),
(660325, '2024-07-25 10:15:00', 12, 1, 100000071, 400014),
(660326, '2024-07-26 13:00:00', 6, 0, 100000164, 400001),
(660327, '2024-07-27 15:30:00', 3, 1, 100000048, 100015),
(660328, '2024-07-28 12:30:00', 12, 0, 100000079, 400017),
(660329, '2024-07-29 10:00:00', 6, 1, 100000104, 100016),
(660330, '2024-07-30 14:15:00', 3, 0, 100000106, 400018),
(660331, '2024-08-01 11:30:00', 12, 1, 100000171, 100007),
(660332, '2024-08-02 10:00:00', 6, 0, 100000145, 400041),
(660333, '2024-08-03 13:30:00', 12, 1, 100000113, 400035),
(660334, '2024-08-04 15:00:00', 3, 0, 100000150, 100039),
(660335, '2024-08-05 14:30:00', 6, 1, 100000119, 400036),
(660336, '2024-08-06 12:00:00', 12, 0, 100000073, 400006),
(660337, '2024-08-07 11:15:00', 6, 1, 100000170, 400003),
(660338, '2024-08-08 09:30:00', 12, 0, 100000155, 100034),
(660339, '2024-08-09 14:00:00', 3, 1, 100000048, 100024),
(660340, '2024-08-10 10:30:00', 6, 0, 100000178, 400029),
(660341, '2024-08-11 15:30:00', 12, 1, 100000036, 100046),
(660342, '2024-08-12 12:00:00', 3, 0, 100000093, 400033),
(660343, '2024-08-13 14:15:00', 12, 1, 100000028, 400020),
(660344, '2024-08-14 11:30:00', 6, 0, 100000136, 100044),
(660345, '2024-08-15 10:00:00', 12, 1, 100000083, 400012),
(660346, '2024-08-16 14:00:00', 3, 0, 100000120, 400015),
(660347, '2024-08-17 15:30:00', 12, 1, 100000091, 400002),
(660348, '2024-08-18 09:00:00', 6, 0, 100000174, 100003),
(660349, '2024-08-19 13:30:00', 12, 1, 100000122, 400022),
(660350, '2024-08-20 11:00:00', 3, 0, 100000042, 400045);

INSERT INTO WARRANTIES (warrantyId, claimDate, validDurationMonth, isClaimed, customerId, productId) VALUES
(660351, '2024-07-01 09:45:00', 12, 1, 100000213, 100010),
(660352, '2024-07-02 11:00:00', 6, 0, 100000189, 400028),
(660353, '2024-07-03 13:30:00', 24, 1, 100000173, 100047),
(660354, '2024-07-04 14:15:00', 12, 0, 100000037, 400014),
(660355, '2024-07-05 15:45:00', 6, 1, 100000048, 100021),
(660356, '2024-07-06 12:00:00', 3, 0, 100000066, 400008),
(660357, '2024-07-07 10:30:00', 12, 1, 100000182, 100034),
(660358, '2024-07-08 14:00:00', 6, 0, 100000107, 400019),
(660359, '2024-07-09 15:15:00', 12, 1, 100000152, 400025),
(660360, '2024-07-10 09:15:00', 3, 0, 100000098, 100038),
(660361, '2024-07-11 10:45:00', 12, 1, 100000087, 400016),
(660362, '2024-07-12 14:30:00', 6, 0, 100000072, 100001),
(660363, '2024-07-13 11:00:00', 12, 1, 100000115, 400041),
(660364, '2024-07-14 15:30:00', 3, 0, 100000048, 100050),
(660365, '2024-07-15 14:15:00', 12, 1, 100000123, 400007),
(660366, '2024-07-16 09:30:00', 6, 0, 100000036, 400022),
(660367, '2024-07-17 13:00:00', 12, 1, 100000125, 100030),
(660368, '2024-07-18 12:45:00', 6, 0, 100000187, 400027),
(660369, '2024-07-19 10:15:00', 12, 1, 100000058, 400006),
(660370, '2024-07-20 11:30:00', 3, 0, 100000162, 100035),
(660371, '2024-07-21 14:00:00', 12, 1, 100000178, 100011),
(660372, '2024-07-22 09:00:00', 6, 0, 100000051, 400003),
(660373, '2024-07-23 11:15:00', 12, 1, 100000063, 100040),
(660374, '2024-07-24 12:00:00', 3, 0, 100000072, 400045),
(660375, '2024-07-25 14:15:00', 12, 1, 100000175, 100014),
(660376, '2024-07-26 15:30:00', 6, 0, 100000102, 400001),
(660377, '2024-07-27 10:30:00', 3, 1, 100000132, 400005),
(660378, '2024-07-28 13:30:00', 12, 0, 100000089, 400029),
(660379, '2024-07-29 14:00:00', 6, 1, 100000145, 100002),
(660380, '2024-07-30 12:45:00', 12, 0, 100000155, 100017),
(660381, '2024-08-01 09:00:00', 6, 1, 100000077, 400010),
(660382, '2024-08-02 14:15:00', 3, 0, 100000080, 100048),
(660383, '2024-08-03 15:30:00', 12, 1, 100000196, 100018),
(660384, '2024-08-04 11:30:00', 6, 0, 100000144, 400022),
(660385, '2024-08-05 13:00:00', 12, 1, 100000111, 100027),
(660386, '2024-08-06 10:00:00', 3, 0, 100000106, 400047),
(660387, '2024-08-07 11:15:00', 12, 1, 100000177, 100039),
(660388, '2024-08-08 14:30:00', 6, 0, 100000164, 400004),
(660389, '2024-08-09 09:30:00', 12, 1, 100000083, 100005),
(660390, '2024-08-10 10:45:00', 6, 0, 100000054, 400028),
(660391, '2024-08-11 12:00:00', 3, 1, 100000125, 100023),
(660392, '2024-08-12 14:00:00', 12, 0, 100000055, 400020),
(660393, '2024-08-13 11:00:00', 6, 1, 100000197, 400013),
(660394, '2024-08-14 13:30:00', 3, 0, 100000026, 100033),
(660395, '2024-08-15 15:00:00', 12, 1, 100000028, 100042),
(660396, '2024-08-16 10:15:00', 6, 0, 100000168, 400031),
(660397, '2024-08-17 14:15:00', 12, 1, 100000149, 400046),
